股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00400A,主動國泰動能高息,2026-05-06,13.79,0.2,1.47,109274940,1495491791,紅增,是,是,13.36,13.01,12.53,12.12,5.5301,4.7259,2.9539
00401A,主動摩根台灣鑫收,2026-05-06,12.61,0.08,0.64,18464735,232149479,紅增,否,是,12.34,12.06,11.76,11.5,4.7021,3.4308,2.0974
0050,元大台灣50,2026-05-06,95.75,1.15,1.22,111759164,10703702958,紅增,否,是,93.19,91.8,88.2,85.5,3.0749,4.6452,2.6298
0051,元大中型100,2026-05-06,129.9,0.85,0.66,80392,10397193,紅增,否,是,128.24,126.26,124.19,122.26,3.1864,2.1438,1.4168
0052,富邦科技,2026-05-06,56.1,0.7,1.26,42282249,2370402848,紅增,否,是,54.44,53.7,51.83,50.64,2.814,4.4162,2.1631
0053,元大電子,2026-05-06,219.7,3.4,1.57,35100,7700460,紅增,否,是,214.52,210.9,202.11,195.27,3.4879,4.907,2.885
0055,元大MSCI金融,2026-05-06,33.86,0.53,1.59,447176,15133776,綠轉紅,是,是,33.37,33.3,33.36,33.41,0.4274,-0.099,-0.0479
0056,元大高股息,2026-05-06,43.86,1.24,2.91,106691262,4654946006,紅增,是,是,42.04,41.47,41.38,41.11,2.7672,0.5308,0.6445
0057,富邦摩台,2026-05-06,284.05,2.65,0.94,13131,3718622,紅增,否,是,277.53,273.12,262.22,253.87,3.2823,4.7119,2.7256
0061,元大寶滬深,2026-05-06,24.95,0.36,1.46,789037,19577722,紅增,是,是,24.59,24.41,24.24,24.09,1.5275,0.968,0.5934
006203,元大MSCI台灣,2026-05-06,173.85,0.75,0.43,12652,2199252,紅增,否,是,169.91,167.62,161.11,156.17,2.7702,4.4882,2.5802
006204,永豐臺灣加權,2026-05-06,204.6,1.75,0.86,28661,5853738,紅增,否,是,200.53,197.69,192.82,188.94,2.9203,3.0226,1.7855
006205,富邦上証,2026-05-06,41.54,0.62,1.52,520596,21568820,紅增,否,是,41.03,40.63,40.38,40.19,1.9934,1.0771,0.5879
006206,元大上證50,2026-05-06,37.95,0.34,0.9,114554,4335494,紅增,否,是,37.54,37.14,36.91,36.72,2.1995,1.1328,0.623
006207,復華滬深,2026-05-06,33.33,0.33,1.0,477598,15889366,紅增,否,是,33.05,32.79,32.6,32.44,1.605,0.8738,0.5288
006208,富邦台50,2026-05-06,222.0,2.4,1.09,8827473,1960099761,紅增,是,是,216.06,212.84,204.39,198.03,3.0722,4.6771,2.6634
00625K,富邦上証+R,2026-05-06,8.9,,,5000,44500,,,,,,,,,,
00631L,元大台灣50正2,2026-05-06,31.89,0.81,2.61,248016175,7902682642,紅增,否,是,30.24,29.39,27.65,26.28,5.9124,7.3283,4.3868
00632R,元大台灣50反1,2026-05-06,11.32,-0.13,-1.14,154687617,1750835399,綠增,否,否,11.64,11.82,12.22,12.55,-2.952,-3.7475,-2.1453
00633L,富邦上証正2,2026-05-06,53.3,1.25,2.4,4811310,255673480,紅增,是,是,52.19,51.77,51.21,50.74,1.6358,1.3508,0.8319
00634R,富邦上証反1,2026-05-06,3.05,-0.03,-0.97,1187100,3612235,綠增,是,否,3.08,3.1,3.11,3.13,-0.8997,-0.6414,-0.4474
00635U,期元大S&P黃金,2026-05-06,48.81,1.15,2.41,4207680,204382001,綠縮,否,否,48.08,48.54,49.47,50.16,-1.8977,-2.2494,-1.2101
00636,國泰中國A50,2026-05-06,28.71,0.26,0.91,1155444,33129822,紅增,否,是,28.47,28.3,28.2,28.11,1.2157,0.6365,0.3595
00636K,國泰中國A50+U,2026-05-06,9.07,0.02,0.22,500,4535,紅增,是,是,9.02,9.01,8.93,8.88,0.4005,0.8398,0.4893
00637L,元大滬深300正2,2026-05-06,22.01,0.55,2.56,39690869,868964131,紅增,是,是,21.54,21.35,21.13,20.94,1.7764,1.3527,0.8375
00638R,元大滬深300反1,2026-05-06,6.51,-0.11,-1.66,5538478,36009655,綠增,是,否,6.61,6.63,6.67,6.71,-0.7508,-0.6439,-0.4475
00639,富邦深100,2026-05-06,17.46,0.17,0.98,1199843,20976632,紅增,否,是,17.31,17.18,17.05,16.94,1.6082,1.0354,0.6376
00640L,富邦日本正2,2026-05-06,93.6,4.35,4.87,504728,47416932,綠縮,是,否,91.18,91.4,92.65,93.65,-0.4802,-1.3225,-0.7951
00641R,富邦日本反1,2026-05-06,4.01,-0.1,-2.43,1536626,6149212,紅縮,否,否,4.07,4.07,4.04,4.02,0.2461,0.7178,0.3975
00642U,期元大S&P石油,2026-05-06,30.59,-0.96,-3.04,6753279,205618549,紅縮,否,是,31.8,30.49,28.67,27.59,8.9707,9.243,4.3229
00643,群益深証中小,2026-05-06,20.15,0.3,1.51,3686069,74197283,紅增,否,是,19.88,19.65,19.35,19.1,2.4214,1.9884,1.1767
00643K,群益深証中小+R,2026-05-06,4.32,0.0,0.0,1000,4320,,,,,,,,,,
00645,富邦日本,2026-05-06,53.1,1.25,2.41,499589,26552453,綠縮,是,否,52.37,52.45,52.83,53.14,-0.2856,-0.71,-0.4382
00646,元大S&P500,2026-05-06,72.3,0.65,0.91,8514534,614878550,紅增,是,是,71.58,71.11,70.53,70.08,1.345,1.0732,0.617
00647L,元大S&P500正2,2026-05-06,127.55,2.35,1.88,160067,20392044,紅增,是,是,124.94,123.84,122.07,120.52,1.7841,1.6832,1.0743
00648R,元大S&P500反1,2026-05-06,4.11,-0.04,-0.96,481816,1976840,綠增,否,否,4.16,4.17,4.21,4.24,-0.4782,-0.7376,-0.579
00650L,復華香港正2,2026-05-06,17.79,0.48,2.77,5961427,105367583,綠轉紅,否,是,17.53,17.49,17.63,17.66,0.5391,-0.9292,-0.2095
00651R,復華香港反1,2026-05-06,5.13,-0.1,-1.91,247437,1274217,紅轉綠,否,否,5.2,5.2,5.18,5.18,-0.1536,0.5021,0.0965
00652,富邦印度,2026-05-06,32.99,0.11,0.33,758955,25139402,綠縮,否,否,32.92,33.07,33.56,33.89,-0.9269,-1.6591,-0.842
00653L,富邦印度正2,2026-05-06,47.0,0.63,1.36,459159,21744334,綠縮,否,否,46.51,46.85,47.41,47.63,-1.4578,-1.784,-0.6454
