股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00400A,主動國泰動能高息,2026-06-04,14.86,-0.16,-1.07,44723262,665987786,紅縮,否,是,14.88,14.71,14.1,12.88,2.3518,6.7397,2.4227
00401A,主動摩根台灣鑫收,2026-06-04,13.84,-0.13,-0.93,3939439,54572166,紅縮,否,是,13.78,13.65,13.1,12.1,1.953,5.5195,2.5551
00403A,主動統一升級50,2026-06-04,10.59,-0.2,-1.85,406992048,4322425816,紅縮,否,,10.72,10.63,10.35,,1.7657,4.2885,1.6206
0050,元大台灣50,2026-06-04,106.1,-1.5,-1.39,236782252,25181889523,紅縮,是,是,106.06,103.4,99.4,90.81,5.2809,6.0024,2.9598
0051,元大中型100,2026-06-04,145.6,-2.15,-1.46,70327,10263634,紅縮,否,是,145.09,142.23,136.84,127.62,4.1042,5.8456,2.9858
0052,富邦科技,2026-06-04,62.3,-1.3,-2.04,37835752,2368899404,紅縮,否,是,62.43,60.97,58.54,53.6,4.9067,6.0348,3.0859
0053,元大電子,2026-06-04,243.95,-4.55,-1.83,33708,8266680,紅縮,否,是,244.35,239.44,229.85,208.5,4.1871,5.9985,2.9771
0055,元大MSCI金融,2026-06-04,38.88,0.27,0.7,1455349,56360560,紅增,否,是,37.01,35.76,34.79,33.87,7.2994,4.6999,2.5451
0056,元大高股息,2026-06-04,52.65,-1.15,-2.14,66916789,3533597260,紅縮,否,是,52.27,50.42,47.65,43.4,7.6356,8.3632,5.2254
0057,富邦摩台,2026-06-04,315.25,-4.0,-1.25,42813,13498862,紅縮,否,是,313.97,306.56,295.83,269.95,4.954,5.6794,2.7973
0061,元大寶滬深,2026-06-04,25.25,-0.18,-0.71,207020,5231889,紅縮,否,是,25.23,25.05,25.04,24.45,1.4232,0.7683,0.534
006203,元大MSCI台灣,2026-06-04,192.6,-2.4,-1.23,9601,1850371,紅縮,否,是,192.32,187.81,180.85,165.63,4.9152,5.8262,2.8068
006204,永豐臺灣加權,2026-06-04,230.65,-2.25,-0.97,4003,923441,紅縮,否,是,228.7,223.25,214.6,198.5,5.0046,5.9589,3.095
006205,富邦上証,2026-06-04,40.74,-0.47,-1.14,356683,14580915,綠增,否,是,40.95,40.94,41.24,40.59,0.0684,-0.2704,-0.1259
006206,元大上證50,2026-06-04,36.36,-0.35,-0.95,9999,365370,綠增,否,否,36.59,36.56,37.03,36.87,0.1971,-0.582,-0.7066
006207,復華滬深,2026-06-04,33.68,-0.42,-1.23,111949,3774664,紅縮,否,是,33.8,33.59,33.56,32.86,1.24,0.8435,0.4895
006208,富邦台50,2026-06-04,245.95,-2.85,-1.15,4444624,1096768372,紅縮,否,是,244.89,239.1,229.96,210.26,4.9634,5.9066,2.8421
00631L,元大台灣50正2,2026-06-04,38.3,-0.92,-2.35,245990855,9462864031,紅縮,否,是,38.03,36.32,33.89,29.17,9.8815,11.3291,5.3642
00632R,元大台灣50反1,2026-06-04,10.14,0.12,1.2,104630701,1059579139,綠縮,否,否,10.18,10.44,10.91,11.92,-4.8046,-6.0216,-2.8407
00633L,富邦上証正2,2026-06-04,53.45,-2.15,-3.87,2304100,124837403,紅縮,否,是,54.15,53.04,52.83,51.55,4.275,2.4532,0.8111
00634R,富邦上証反1,2026-06-04,3.01,0.05,1.69,520999,1561656,綠縮,否,否,3.0,3.04,3.05,3.1,-2.2772,-1.4591,-0.5542
00635U,期元大S&P黃金,2026-06-04,46.76,0.06,0.13,1961224,91544080,綠轉紅,否,否,47.0,46.99,47.68,49.2,0.0426,-0.5229,-0.7101
00636,國泰中國A50,2026-06-04,28.94,-0.57,-1.93,471588,13728360,紅縮,否,是,29.13,28.79,28.71,28.34,2.3687,1.2591,0.5251
00636K,國泰中國A50+U,2026-06-04,9.31,0.0,0.0,200,1862,紅增,否,是,9.28,9.2,9.15,8.98,1.8437,1.2107,0.7046
