股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
006201,元大富櫃50,2026-07-15,45.98,1.47,3.3,126283000,0,綠縮,否,否,45.97,46.76,47.19,46.0,-3.2981,-2.6565,-1.2896
00679B,元大美債20年,2026-07-15,26.75,0.02,0.07,22597598000,0,綠增,否,是,26.82,27.01,26.95,26.75,-1.4552,-0.5046,0.3109
00687B,國泰20年美債,2026-07-15,27.78,0.0,0.0,24553174000,0,綠增,否,否,27.9,28.1,28.08,27.88,-1.4554,-0.5169,0.0641
00687C,國泰20年美債+櫃U,2026-07-15,9.21,0.01,0.11,25000000,0,綠增,否,否,9.26,9.36,9.38,9.33,-2.0525,-1.1517,-0.1862
00694B,富邦美債1-3,2026-07-15,42.45,0.09,0.21,71493000,0,紅縮,否,是,42.36,42.23,41.98,41.67,0.6128,0.6866,0.5148
00695B,富邦美債7-10,2026-07-15,35.61,0.1,0.28,229235000,0,紅縮,否,是,35.59,35.61,35.4,35.2,-0.0618,0.3636,0.4654
00696B,富邦美債20年,2026-07-15,29.12,0.01,0.03,1501514000,0,綠增,否,是,29.21,29.43,29.37,29.04,-1.5039,-0.5608,0.2749
00697B,元大美債7-10,2026-07-15,35.87,0.14,0.39,162749000,0,紅增,否,是,35.82,35.84,35.73,35.64,-0.0893,0.2602,0.261
00719B,元大美債1-3,2026-07-15,31.54,0.08,0.25,2229903000,0,紅縮,否,是,31.46,31.37,31.18,31.01,0.6204,0.6869,0.5012
00720B,元大投資級公司債,2026-07-15,33.09,0.07,0.21,7007306000,0,綠增,否,否,33.29,33.52,33.48,33.13,-1.3863,-0.4425,0.1391
00722B,群益投資級電信債,2026-07-15,35.65,0.07,0.2,3121353000,0,綠增,否,否,35.9,36.21,36.26,36.03,-1.6706,-0.7755,-0.1088
00723B,群益投資級科技債,2026-07-15,30.47,-0.02,-0.07,141045000,0,綠增,否,否,30.76,31.03,31.07,30.84,-1.7126,-0.7612,-0.1494
00724B,群益投資級金融債,2026-07-15,33.87,-0.05,-0.15,4157417000,0,綠增,否,是,34.08,34.27,34.16,33.81,-1.0682,-0.2329,0.2892
00725B,國泰投資級公司債,2026-07-15,35.19,0.05,0.14,5322440000,0,綠增,否,是,35.4,35.62,35.57,35.18,-1.2388,-0.3692,0.138
00726B,國泰新興投等債,2026-07-15,33.31,0.02,0.06,168358000,0,紅轉綠,否,是,33.36,33.36,33.19,32.98,-0.018,0.3097,0.457
00727B,國泰優選非投等債,2026-07-15,40.26,-0.09,-0.22,177777000,0,紅縮,否,是,40.27,40.12,39.89,39.53,0.7103,0.6699,0.5533
00734B,台新JPM新興債,2026-07-15,15.71,,,24328000,0,紅轉綠,否,否,16.0,16.03,15.96,15.81,-0.3736,0.1374,0.428
00740B,富邦全球投等債,2026-07-15,38.5,0.01,0.03,1102884000,0,綠增,否,否,38.73,38.96,38.93,38.69,-1.184,-0.3351,0.0116
00741B,富邦全球非投等債,2026-07-15,37.79,0.08,0.21,212796000,0,紅縮,否,是,37.73,37.61,37.42,37.33,0.6455,0.6907,0.424
00746B,富邦A級公司債,2026-07-15,35.62,0.08,0.23,1049034000,0,綠增,否,是,35.78,35.98,35.89,35.6,-1.1166,-0.2385,0.2136
00749B,凱基新興債10+,2026-07-15,32.02,0.05,0.16,100000000,0,綠增,否,是,32.1,32.2,32.09,31.77,-0.6253,-0.059,0.3487
00750B,凱基科技債10+,2026-07-15,32.9,0.05,0.15,100000000,0,綠增,否,否,33.17,33.43,33.41,33.15,-1.5495,-0.5563,-0.018
00751B,元大AAA至A公司債,2026-07-15,31.23,0.04,0.13,3455799000,0,綠增,否,否,31.43,31.69,31.82,31.72,-1.646,-0.7671,-0.3086
00754B,群益AAA-AA公司債,2026-07-15,32.85,0.04,0.12,104291000,0,綠增,否,否,33.15,33.51,33.57,33.57,-2.149,-0.9107,-0.2392
00755B,群益投資級公用債,2026-07-15,32.84,0.05,0.15,110185000,0,綠增,否,否,32.99,33.21,33.1,32.88,-1.3341,-0.3062,0.2529
00756B,群益投等新興公債,2026-07-15,31.76,0.03,0.09,115738000,0,綠增,否,是,31.87,31.98,31.87,31.6,-0.698,-0.1405,0.4017
00758B,復華能源債,2026-07-15,51.65,0.15,0.29,200000000,0,綠增,是,否,51.81,52.08,52.0,51.69,-1.0315,-0.3158,0.1637
00759B,復華製藥債,2026-07-15,54.7,0.05,0.09,200000000,0,綠增,是,否,54.98,55.31,55.18,54.72,-1.204,-0.3513,0.2726
00760B,復華新興企業債,2026-07-15,54.2,0.0,0.0,201785000,0,綠增,是,是,54.36,54.44,54.22,53.92,-0.2935,0.0368,0.4121
00761B,國泰A級公司債,2026-07-15,34.29,0.04,0.12,121261000,0,綠增,否,否,34.51,34.76,34.73,34.58,-1.4337,-0.498,0.0735
00764B,群益25年美債,2026-07-15,27.75,0.01,0.04,4985567000,0,綠增,否,否,27.82,28.02,28.01,27.84,-1.4033,-0.4724,0.0232
00768B,復華20年美債,2026-07-15,50.05,-0.1,-0.2,471513000,0,綠增,否,否,50.29,50.69,50.54,50.32,-1.5466,-0.5201,0.2847
00772B,中信高評級公司債,2026-07-15,33.51,0.03,0.09,1275131000,0,綠增,否,否,33.69,33.91,33.89,33.73,-1.3182,-0.3994,0.0118
00773B,中信優先金融債,2026-07-15,35.78,-0.05,-0.14,1625315000,0,綠增,是,否,36.03,36.23,36.15,35.9,-1.1143,-0.2423,0.1676
00777B,凱基AAA至A公司債,2026-07-15,32.34,0.05,0.15,100029000,0,綠增,否,否,32.58,32.85,32.85,32.68,-1.5947,-0.5751,-0.0608
00778B,凱基金融債20+,2026-07-15,34.15,-0.09,-0.26,100000000,0,綠增,否,否,34.53,34.82,34.81,34.52,-1.6913,-0.6278,0.0259
00779B,凱基美債25+,2026-07-15,28.06,0.0,0.0,555442000,0,綠增,否,否,28.16,28.37,28.36,28.21,-1.4558,-0.5085,-0.0018
00780B,國泰A級金融債,2026-07-15,37.45,0.12,0.32,106341000,0,綠增,否,是,37.55,37.63,37.44,37.32,-0.4243,0.1944,0.4158
00781B,國泰A級科技債,2026-07-15,27.91,-0.06,-0.21,148280000,0,綠增,否,否,28.16,28.38,28.5,28.6,-1.5109,-0.6164,-0.579
00782B,國泰A級公用債,2026-07-15,30.69,-0.07,-0.23,449791000,0,綠增,是,是,30.82,31.0,30.87,30.54,-1.1482,-0.1192,0.3234
00785B,富邦金融投等債,2026-07-15,35.1,0.0,0.0,104262000,0,綠增,否,是,35.32,35.5,35.38,35.03,-1.02,-0.1603,0.2891
00786B,元大10年IG銀行債,2026-07-15,32.71,0.0,0.0,18043000,0,綠增,否,否,32.96,33.13,33.02,32.78,-1.009,-0.1778,0.3114
00787B,元大10年IG醫療債,2026-07-15,32.51,0.05,0.15,7426000,0,綠增,否,否,32.67,32.85,32.87,32.65,-1.1199,-0.3609,-0.0167
00788B,元大10年IG電能債,2026-07-15,30.16,0.0,0.0,5136000,0,綠增,否,是,30.36,30.52,30.41,30.06,-1.1012,-0.1668,0.3233
00789B,復華公司債A3,2026-07-15,48.02,0.06,0.13,105365000,0,綠增,否,否,48.39,48.82,48.83,48.45,-1.7462,-0.6896,-0.0368
00791B,復華信用債1-5,2026-07-15,57.75,0.1,0.17,105002000,0,紅縮,否,是,57.67,57.52,57.16,56.72,0.5404,0.6475,0.5409
00792B,群益A級公司債,2026-07-15,31.45,-0.09,-0.29,105397000,0,綠增,否,否,31.69,31.92,31.96,31.82,-1.4307,-0.4429,-0.2123
00793B,群益AAA-A醫療債,2026-07-15,30.56,-0.1,-0.33,21054000,0,綠增,否,否,30.8,31.01,31.0,30.84,-1.3262,-0.3503,-0.1144
00795B,中信美國公債20年,2026-07-15,26.89,-0.01,-0.04,3280613000,0,綠增,否,否,26.99,27.19,27.12,26.94,-1.4748,-0.5268,0.2884
