股票代號,股票名稱,日期,收盤價,漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
3583,辛耘,2026-04-17,760.0,56.0,2080688,1539897459,綠縮,否,是,760.0,760.0,760.0,760.0,0.0,0.0,0.0
3588,通嘉,2026-04-17,54.6,0.6,419006,22926500,綠縮,否,是,54.6,54.6,54.6,54.6,0.0,0.0,0.0
3591,艾笛森,2026-04-17,24.75,1.05,5701656,139213217,綠縮,否,是,24.75,24.75,24.75,24.75,0.0,0.0,0.0
3592,瑞鼎,2026-04-17,239.5,7.0,773115,182235631,,否,是,239.5,239.5,239.5,239.5,0.0,0.0,0.0
3593,力銘,2026-04-17,19.35,0.25,127039,2463754,綠縮,否,是,19.35,19.35,19.35,19.35,0.0,0.0,0.0
3596,智易,2026-04-17,177.0,0.5,1271546,226897424,綠縮,否,是,177.0,177.0,177.0,177.0,0.0,0.0,0.0
3605,宏致,2026-04-17,65.6,0.9,2833763,187337057,綠縮,否,是,65.6,65.6,65.6,65.6,0.0,0.0,0.0
3607,谷崧,2026-04-17,15.5,0.7,714210,10735209,紅縮,否,是,15.5,15.5,15.5,15.5,0.0,0.0,0.0
3617,碩天,2026-04-17,192.0,2.5,373145,71644871,綠縮,否,是,192.0,192.0,192.0,192.0,0.0,0.0,0.0
3622,洋華,2026-04-17,55.8,-0.7,319809,17932240,綠縮,否,是,55.8,55.8,55.8,55.8,0.0,0.0,0.0
3645,達邁,2026-04-17,104.5,4.0,42594899,4419546191,綠縮,否,是,104.5,104.5,104.5,104.5,0.0,0.0,0.0
3652,精聯,2026-04-17,28.0,0.05,48878,1364983,,否,是,28.0,28.0,28.0,28.0,0.0,0.0,0.0
3653,健策,2026-04-17,4565.0,185.0,1407455,6449645980,綠縮,否,是,4565.0,4565.0,4565.0,4565.0,0.0,0.0,0.0
3661,世芯-KY,2026-04-17,3515.0,40.0,3107471,11079839245,綠縮,否,是,3515.0,3515.0,3515.0,3515.0,0.0,0.0,0.0
3665,貿聯-KY,2026-04-17,2365.0,-30.0,2330543,5579168965,綠縮,否,是,2365.0,2365.0,2365.0,2365.0,0.0,0.0,0.0
3669,圓展,2026-04-17,39.35,0.05,155401,6174764,綠縮,否,是,39.35,39.35,39.35,39.35,0.0,0.0,0.0
3673,TPK-KY,2026-04-17,72.1,3.7,41636180,2977178107,紅縮,否,是,72.1,72.1,72.1,72.1,0.0,0.0,0.0
