股票代號,股票名稱,日期,收盤價,漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
5907,大洋-KY,2026-04-17,5.73,0.0,275280,1566892,紅縮,否,是,5.73,5.73,5.73,5.73,0.0,0.0,0.0
6005,群益證,2026-04-17,27.6,-0.4,18183920,502083461,綠縮,否,是,27.6,27.6,27.6,27.6,0.0,0.0,0.0
6024,群益期,2026-04-17,56.4,-0.1,221595,12469698,,否,是,56.4,56.4,56.4,56.4,0.0,0.0,0.0
6108,競國,2026-04-17,17.9,0.1,1404327,25514460,紅縮,否,是,17.9,17.9,17.9,17.9,0.0,0.0,0.0
6112,邁達特,2026-04-17,48.05,0.6,658742,31737811,綠縮,否,是,48.05,48.05,48.05,48.05,0.0,0.0,0.0
6115,鎰勝,2026-04-17,47.8,0.0,123609,5888966,紅縮,否,是,47.8,47.8,47.8,47.8,0.0,0.0,0.0
6116,彩晶,2026-04-17,8.95,-0.32,32864803,299836190,綠縮,否,是,8.95,8.95,8.95,8.95,0.0,0.0,0.0
6117,迎廣,2026-04-17,81.6,0.4,1027664,84679842,綠縮,否,是,81.6,81.6,81.6,81.6,0.0,0.0,0.0
6120,達運,2026-04-17,14.8,-0.25,3994000,59569588,綠縮,否,是,14.8,14.8,14.8,14.8,0.0,0.0,0.0
6128,上福,2026-04-17,21.05,0.05,103296,2158220,紅縮,否,是,21.05,21.05,21.05,21.05,0.0,0.0,0.0
6133,金橋,2026-04-17,23.1,0.1,1023587,23696669,綠縮,否,是,23.1,23.1,23.1,23.1,0.0,0.0,0.0
6136,富爾特,2026-04-17,24.45,0.45,158666,3850332,紅縮,否,是,24.45,24.45,24.45,24.45,0.0,0.0,0.0
6139,亞翔,2026-04-17,723.0,54.0,9661479,6733182317,綠縮,否,是,723.0,723.0,723.0,723.0,0.0,0.0,0.0
6141,柏承,2026-04-17,31.2,2.8,6708821,209315172,綠縮,否,是,31.2,31.2,31.2,31.2,0.0,0.0,0.0
6142,友勁,2026-04-17,9.23,-0.13,654955,6078853,綠縮,否,是,9.23,9.23,9.23,9.23,0.0,0.0,0.0
6152,百一,2026-04-17,17.4,-0.3,5319565,94150760,綠縮,否,是,17.4,17.4,17.4,17.4,0.0,0.0,0.0
6153,嘉聯益,2026-04-17,18.75,1.3,11773612,215039999,紅縮,否,是,18.75,18.75,18.75,18.75,0.0,0.0,0.0
6155,鈞寶,2026-04-17,50.6,-2.0,5855854,304846924,綠縮,否,是,50.6,50.6,50.6,50.6,0.0,0.0,0.0
6164,華興,2026-04-17,13.0,0.1,917421,11975894,紅縮,否,是,13.0,13.0,13.0,13.0,0.0,0.0,0.0
6165,浪凡,2026-04-17,45.2,0.3,498608,22643159,綠縮,否,是,45.2,45.2,45.2,45.2,0.0,0.0,0.0
6166,凌華,2026-04-17,73.8,3.3,1951506,142837425,綠縮,否,是,73.8,73.8,73.8,73.8,0.0,0.0,0.0
6168,宏齊,2026-04-17,28.8,0.6,23015401,668580911,綠縮,否,是,28.8,28.8,28.8,28.8,0.0,0.0,0.0
6176,瑞儀,2026-04-17,90.9,0.2,4315543,393747762,綠縮,否,是,90.9,90.9,90.9,90.9,0.0,0.0,0.0
6177,達麗,2026-04-17,45.75,-0.3,1149862,52770877,綠縮,否,是,45.75,45.75,45.75,45.75,0.0,0.0,0.0
6183,關貿,2026-04-17,95.3,0.4,26005,2474100,綠縮,否,是,95.3,95.3,95.3,95.3,0.0,0.0,0.0
6184,大豐電,2026-04-17,47.55,-0.1,69527,3301431,綠縮,否,是,47.55,47.55,47.55,47.55,0.0,0.0,0.0
6189,豐藝,2026-04-17,47.2,-0.2,750017,35445338,綠縮,否,是,47.2,47.2,47.2,47.2,0.0,0.0,0.0
6191,精成科,2026-04-17,104.5,-0.5,6500435,681563539,綠縮,否,是,104.5,104.5,104.5,104.5,0.0,0.0,0.0
6192,巨路,2026-04-17,122.5,0.5,330644,40408659,綠縮,否,是,122.5,122.5,122.5,122.5,0.0,0.0,0.0
6196,帆宣,2026-04-17,359.0,19.0,4011934,1401779931,綠縮,否,是,359.0,359.0,359.0,359.0,0.0,0.0,0.0
6197,佳必琪,2026-04-17,185.5,5.5,6926358,1300430637,綠縮,否,是,185.5,185.5,185.5,185.5,0.0,0.0,0.0
6201,亞弘電,2026-04-17,51.0,0.3,65654,3339634,綠縮,否,是,51.0,51.0,51.0,51.0,0.0,0.0,0.0
6202,盛群,2026-04-17,55.0,1.5,7401127,410950591,紅縮,否,是,55.0,55.0,55.0,55.0,0.0,0.0,0.0
6205,詮欣,2026-04-17,75.0,6.8,6738285,495177849,綠縮,否,是,75.0,75.0,75.0,75.0,0.0,0.0,0.0
6206,飛捷,2026-04-17,108.0,1.5,1379337,149225184,綠縮,否,是,108.0,108.0,108.0,108.0,0.0,0.0,0.0
6209,今國光,2026-04-17,62.1,1.3,5729230,354529308,綠縮,否,是,62.1,62.1,62.1,62.1,0.0,0.0,0.0
6213,聯茂,2026-04-17,270.5,18.5,66569559,17566867723,綠縮,否,是,270.5,270.5,270.5,270.5,0.0,0.0,0.0
6214,精誠,2026-04-17,126.0,2.5,3728158,466751433,綠縮,否,是,126.0,126.0,126.0,126.0,0.0,0.0,0.0
6215,和椿,2026-04-17,106.0,1.5,1432929,153210069,綠縮,否,是,106.0,106.0,106.0,106.0,0.0,0.0,0.0
6216,居易,2026-04-17,25.75,-0.1,160600,4115187,紅縮,否,是,25.75,25.75,25.75,25.75,0.0,0.0,0.0
6224,聚鼎,2026-04-17,61.1,1.9,1614531,96851927,,否,是,61.1,61.1,61.1,61.1,0.0,0.0,0.0
6225,天瀚,2026-04-17,19.05,0.55,11195,220034,綠縮,否,是,19.05,19.05,19.05,19.05,0.0,0.0,0.0
6226,光鼎,2026-04-17,14.6,1.3,7266475,102196564,綠縮,否,是,14.6,14.6,14.6,14.6,0.0,0.0,0.0
6230,尼得科超眾,2026-04-17,161.0,6.0,221992,35878287,綠縮,否,是,161.0,161.0,161.0,161.0,0.0,0.0,0.0
6235,華孚,2026-04-17,45.7,-0.2,558474,25549077,綠縮,否,是,45.7,45.7,45.7,45.7,0.0,0.0,0.0
6239,力成,2026-04-17,207.5,-5.0,8355427,1739269508,綠縮,否,是,207.5,207.5,207.5,207.5,0.0,0.0,0.0
6243,迅杰,2026-04-17,30.95,-0.45,166665,5156510,綠縮,否,是,30.95,30.95,30.95,30.95,0.0,0.0,0.0
6257,矽格,2026-04-17,177.5,-2.5,10274229,1836308996,綠縮,否,是,177.5,177.5,177.5,177.5,0.0,0.0,0.0
6269,台郡,2026-04-17,64.7,1.1,3007124,192455744,紅縮,否,是,64.7,64.7,64.7,64.7,0.0,0.0,0.0
6271,同欣電,2026-04-17,185.5,0.5,8570479,1584186232,綠縮,否,是,185.5,185.5,185.5,185.5,0.0,0.0,0.0
6272,驊陞,2026-04-17,32.55,0.25,342772,11049761,,否,是,32.55,32.55,32.55,32.55,0.0,0.0,0.0
6277,宏正,2026-04-17,71.1,0.4,431195,30522673,紅縮,否,是,71.1,71.1,71.1,71.1,0.0,0.0,0.0
6278,台表科,2026-04-17,157.0,14.0,27549290,4259962498,綠縮,否,是,157.0,157.0,157.0,157.0,0.0,0.0,0.0
6281,全國電,2026-04-17,53.0,0.0,79741,4199720,紅縮,否,是,53.0,53.0,53.0,53.0,0.0,0.0,0.0
6282,康舒,2026-04-17,50.9,0.8,27909978,1415043934,綠縮,否,是,50.9,50.9,50.9,50.9,0.0,0.0,0.0
6283,淳安,2026-04-17,23.6,1.5,671662,15415913,紅縮,否,是,23.6,23.6,23.6,23.6,0.0,0.0,0.0
6285,啟碁,2026-04-17,264.5,-2.5,52865825,14107242521,綠縮,否,是,264.5,264.5,264.5,264.5,0.0,0.0,0.0
6405,悅城,2026-04-17,36.55,0.6,700430,25553071,綠縮,否,是,36.55,36.55,36.55,36.55,0.0,0.0,0.0
6409,旭隼,2026-04-17,781.0,-11.0,541283,422522284,綠縮,否,是,781.0,781.0,781.0,781.0,0.0,0.0,0.0
6412,群電,2026-04-17,78.6,-0.2,942696,74373705,綠縮,否,是,78.6,78.6,78.6,78.6,0.0,0.0,0.0
6414,樺漢,2026-04-17,304.0,4.0,1624076,493594729,紅縮,否,是,304.0,304.0,304.0,304.0,0.0,0.0,0.0
6415,矽力*-KY,2026-04-17,332.5,30.0,16101903,5183301360,紅縮,否,是,332.5,332.5,332.5,332.5,0.0,0.0,0.0
6416,瑞祺電通,2026-04-17,81.4,0.8,287247,23439361,,否,是,81.4,81.4,81.4,81.4,0.0,0.0,0.0
6426,統新,2026-04-17,227.0,20.5,2594294,580512238,,否,是,227.0,227.0,227.0,227.0,0.0,0.0,0.0
6431,光麗-KY,2026-04-17,21.3,0.25,119488,2520195,綠縮,否,是,21.3,21.3,21.3,21.3,0.0,0.0,0.0
6438,迅得,2026-04-17,179.0,2.5,1884194,336450824,,否,是,179.0,179.0,179.0,179.0,0.0,0.0,0.0
6442,光聖,2026-04-17,2155.0,80.0,4883688,10600999715,綠縮,否,是,2155.0,2155.0,2155.0,2155.0,0.0,0.0,0.0
6443,元晶,2026-04-17,39.0,-1.45,18156261,713107806,綠縮,否,是,39.0,39.0,39.0,39.0,0.0,0.0,0.0
6446,藥華藥,2026-04-17,653.0,-7.0,1794085,1175800953,,否,是,653.0,653.0,653.0,653.0,0.0,0.0,0.0
6449,鈺邦,2026-04-17,174.5,0.5,877232,153846082,綠縮,否,是,174.5,174.5,174.5,174.5,0.0,0.0,0.0
6451,訊芯-KY,2026-04-17,505.0,11.0,968708,498750245,綠縮,否,是,505.0,505.0,505.0,505.0,0.0,0.0,0.0
6456,GIS-KY,2026-04-17,77.6,0.8,44411160,3508004063,紅縮,否,是,77.6,77.6,77.6,77.6,0.0,0.0,0.0
6464,台數科,2026-04-17,76.3,0.1,45754,3483990,紅縮,否,是,76.3,76.3,76.3,76.3,0.0,0.0,0.0
6472,保瑞,2026-04-17,416.0,-9.5,699072,293118671,,否,是,416.0,416.0,416.0,416.0,0.0,0.0,0.0
6477,安集,2026-04-17,34.45,-0.3,450369,15574989,綠縮,否,是,34.45,34.45,34.45,34.45,0.0,0.0,0.0
6491,晶碩,2026-04-17,293.5,-1.0,477786,140750727,,否,是,293.5,293.5,293.5,293.5,0.0,0.0,0.0
6504,南六,2026-04-17,41.45,0.15,28400,1176449,紅縮,否,是,41.45,41.45,41.45,41.45,0.0,0.0,0.0
6505,台塑化,2026-04-17,54.9,-0.2,9742359,536083000,紅縮,否,是,54.9,54.9,54.9,54.9,0.0,0.0,0.0
6515,穎崴,2026-04-17,10305.0,485.0,512887,5324257845,,否,是,10305.0,10305.0,10305.0,10305.0,0.0,0.0,0.0
6525,捷敏-KY,2026-04-17,90.5,2.2,1108339,100929116,綠縮,否,是,90.5,90.5,90.5,90.5,0.0,0.0,0.0
6526,達發,2026-04-17,506.0,3.0,447469,225259150,,否,是,506.0,506.0,506.0,506.0,0.0,0.0,0.0
6531,愛普*,2026-04-17,644.0,58.0,8284093,5224833001,綠縮,否,是,644.0,644.0,644.0,644.0,0.0,0.0,0.0
6533,晶心科,2026-04-17,235.0,16.5,4297800,1000962242,綠縮,否,是,235.0,235.0,235.0,235.0,0.0,0.0,0.0
6534,正瀚-創,2026-04-17,99.6,0.9,264482,26080612,,否,是,99.6,99.6,99.6,99.6,0.0,0.0,0.0
6541,泰福-KY,2026-04-17,41.0,0.3,281079,11451344,,否,是,41.0,41.0,41.0,41.0,0.0,0.0,0.0
6550,北極星藥業-KY,2026-04-17,18.8,0.5,1673948,30812449,,否,是,18.8,18.8,18.8,18.8,0.0,0.0,0.0
6552,易華電,2026-04-17,27.6,0.4,167516,4643517,紅縮,否,是,27.6,27.6,27.6,27.6,0.0,0.0,0.0
6558,興能高,2026-04-17,30.0,0.25,565586,17047629,,否,是,30.0,30.0,30.0,30.0,0.0,0.0,0.0
6573,虹揚-KY,2026-04-17,12.5,-0.1,177298,2186018,,否,是,12.5,12.5,12.5,12.5,0.0,0.0,0.0
6579,研揚,2026-04-17,118.0,0.0,312020,37344617,,否,是,118.0,118.0,118.0,118.0,0.0,0.0,0.0
6581,鋼聯,2026-04-17,107.5,0.5,18542,1998561,,否,是,107.5,107.5,107.5,107.5,0.0,0.0,0.0
6582,申豐,2026-04-17,32.25,-0.75,141058,4579822,,否,是,32.25,32.25,32.25,32.25,0.0,0.0,0.0
6585,鼎基,2026-04-17,88.8,-2.1,188657,16996043,,否,是,88.8,88.8,88.8,88.8,0.0,0.0,0.0
6589,台康生技,2026-04-17,50.6,-0.7,913097,46081202,,否,是,50.6,50.6,50.6,50.6,0.0,0.0,0.0
6591,動力-KY,2026-04-17,58.9,0.7,318827,18676615,,否,是,58.9,58.9,58.9,58.9,0.0,0.0,0.0
6592,和潤企業,2026-04-17,64.5,-0.3,470779,30268304,,否,是,64.5,64.5,64.5,64.5,0.0,0.0,0.0
6592A,和潤企業甲特,2026-04-17,97.4,,3397,330785,,否,是,97.4,97.4,97.4,97.4,0.0,0.0,0.0
6592B,和潤企業乙特,2026-04-17,97.8,,2353,230149,,否,是,97.8,97.8,97.8,97.8,0.0,0.0,0.0
6598,ABC-KY,2026-04-17,22.8,-0.1,117394,2648289,,否,是,22.8,22.8,22.8,22.8,0.0,0.0,0.0
6605,帝寶,2026-04-17,129.5,-0.5,411095,53439666,綠縮,否,是,129.5,129.5,129.5,129.5,0.0,0.0,0.0
6606,建德工業,2026-04-17,24.6,-0.1,23713,581692,,否,是,24.6,24.6,24.6,24.6,0.0,0.0,0.0
6614,資拓宏宇,2026-04-17,41.0,-0.8,131845,5393277,,否,是,41.0,41.0,41.0,41.0,0.0,0.0,0.0
6625,必應,2026-04-17,76.6,-0.7,225485,17362864,,否,是,76.6,76.6,76.6,76.6,0.0,0.0,0.0
6641,基士德-KY,2026-04-17,18.45,0.0,31714,582688,,否,是,18.45,18.45,18.45,18.45,0.0,0.0,0.0
6645,金萬林-創,2026-04-17,13.25,-0.1,37097,490730,,否,是,13.25,13.25,13.25,13.25,0.0,0.0,0.0
6655,科定,2026-04-17,136.5,1.0,10619,1442450,,否,是,136.5,136.5,136.5,136.5,0.0,0.0,0.0
6657,華安,2026-04-17,46.2,-3.45,869638,40699894,,否,是,46.2,46.2,46.2,46.2,0.0,0.0,0.0
6658,聯策,2026-04-17,79.8,1.8,736371,58356021,,否,是,79.8,79.8,79.8,79.8,0.0,0.0,0.0
6666,羅麗芬-KY,2026-04-17,41.6,0.4,5468,227601,,否,是,41.6,41.6,41.6,41.6,0.0,0.0,0.0
6668,中揚光,2026-04-17,38.6,3.5,619088,23853133,,否,是,38.6,38.6,38.6,38.6,0.0,0.0,0.0
6669,緯穎,2026-04-17,3805.0,105.0,2838818,10917024655,,否,是,3805.0,3805.0,3805.0,3805.0,0.0,0.0,0.0
6670,復盛應用,2026-04-17,260.0,-3.5,367371,95629417,,否,是,260.0,260.0,260.0,260.0,0.0,0.0,0.0
6671,三能-KY,2026-04-17,32.45,-0.55,61375,1990780,,否,是,32.45,32.45,32.45,32.45,0.0,0.0,0.0
6672,騰輝電子-KY,2026-04-17,176.0,16.0,3800597,659083572,,否,是,176.0,176.0,176.0,176.0,0.0,0.0,0.0
6674,鋐寶科技,2026-04-17,19.0,0.0,25112,477999,,否,是,19.0,19.0,19.0,19.0,0.0,0.0,0.0
6689,伊雲谷,2026-04-17,71.1,-1.5,380615,27478085,,否,是,71.1,71.1,71.1,71.1,0.0,0.0,0.0
6691,洋基工程,2026-04-17,659.0,1.0,1428337,933068007,,否,是,659.0,659.0,659.0,659.0,0.0,0.0,0.0
6695,芯鼎,2026-04-17,40.4,-0.2,600127,24220272,,否,是,40.4,40.4,40.4,40.4,0.0,0.0,0.0
6698,旭暉應材,2026-04-17,31.2,0.25,183797,5722568,,否,是,31.2,31.2,31.2,31.2,0.0,0.0,0.0
6706,惠特,2026-04-17,151.5,4.5,12121449,1860464359,,否,是,151.5,151.5,151.5,151.5,0.0,0.0,0.0
6715,嘉基,2026-04-17,426.0,6.5,2261141,978618214,,否,是,426.0,426.0,426.0,426.0,0.0,0.0,0.0
6719,力智,2026-04-17,167.5,1.5,376176,62822799,,否,是,167.5,167.5,167.5,167.5,0.0,0.0,0.0
6722,輝創,2026-04-17,40.0,-0.7,78945,3164731,,否,是,40.0,40.0,40.0,40.0,0.0,0.0,0.0
6742,澤米,2026-04-17,43.5,0.1,332555,14610067,,否,是,43.5,43.5,43.5,43.5,0.0,0.0,0.0
6743,安普新,2026-04-17,22.9,-0.15,282331,6477369,,否,是,22.9,22.9,22.9,22.9,0.0,0.0,0.0
6753,龍德造船,2026-04-17,138.5,-2.5,1561901,221675582,,否,是,138.5,138.5,138.5,138.5,0.0,0.0,0.0
6754,匯僑設計,2026-04-17,47.0,0.1,17115,804081,,否,是,47.0,47.0,47.0,47.0,0.0,0.0,0.0
6756,威鋒電子,2026-04-17,76.1,-0.9,171311,13062689,,否,是,76.1,76.1,76.1,76.1,0.0,0.0,0.0
6757,台灣虎航,2026-04-17,49.6,-0.5,682258,33858235,,否,是,49.6,49.6,49.6,49.6,0.0,0.0,0.0
6768,志強-KY,2026-04-17,85.4,-0.3,381207,32646705,,否,是,85.4,85.4,85.4,85.4,0.0,0.0,0.0
6770,力積電,2026-04-17,52.6,-1.4,87074889,4615898597,,否,是,52.6,52.6,52.6,52.6,0.0,0.0,0.0
6771,平和環保-創,2026-04-17,45.3,0.85,38056,1716679,,否,是,45.3,45.3,45.3,45.3,0.0,0.0,0.0
6776,展碁國際,2026-04-17,60.2,-0.8,358123,21810880,,否,是,60.2,60.2,60.2,60.2,0.0,0.0,0.0
6781,AES-KY,2026-04-17,1040.0,25.0,1293874,1331097240,,否,是,1040.0,1040.0,1040.0,1040.0,0.0,0.0,0.0
6782,視陽,2026-04-17,235.0,4.5,1107597,260220397,,否,是,235.0,235.0,235.0,235.0,0.0,0.0,0.0
6789,采鈺,2026-04-17,430.0,16.0,11751503,5039799376,,否,是,430.0,430.0,430.0,430.0,0.0,0.0,0.0
6790,永豐實,2026-04-17,40.2,-0.15,149079,5994900,,否,是,40.2,40.2,40.2,40.2,0.0,0.0,0.0
6792,詠業,2026-04-17,61.2,0.6,88936,5411403,,否,是,61.2,61.2,61.2,61.2,0.0,0.0,0.0
6794,向榮生技,2026-04-17,81.2,0.2,23000,1853400,,否,是,81.2,81.2,81.2,81.2,0.0,0.0,0.0
6796,晉弘,2026-04-17,75.5,-2.2,72236,5530760,,否,是,75.5,75.5,75.5,75.5,0.0,0.0,0.0
6799,來頡,2026-04-17,80.2,0.9,202768,16275280,,否,是,80.2,80.2,80.2,80.2,0.0,0.0,0.0
6805,富世達,2026-04-17,1870.0,-30.0,1741776,3274379930,,否,是,1870.0,1870.0,1870.0,1870.0,0.0,0.0,0.0
6806,森崴能源,2026-04-17,24.65,2.2,1068697,26343302,,否,是,24.65,24.65,24.65,24.65,0.0,0.0,0.0
6807,峰源-KY,2026-04-17,38.6,-0.5,22611,875228,,否,是,38.6,38.6,38.6,38.6,0.0,0.0,0.0
6830,汎銓,2026-04-17,885.0,80.0,315244,274257256,,否,是,885.0,885.0,885.0,885.0,0.0,0.0,0.0
6831,邁科,2026-04-17,475.0,43.0,1683747,777643952,,否,是,475.0,475.0,475.0,475.0,0.0,0.0,0.0
6834,天二科技,2026-04-17,37.3,0.3,850680,31979480,,否,是,37.3,37.3,37.3,37.3,0.0,0.0,0.0
6835,圓裕,2026-04-17,38.35,-0.5,292406,11257046,,否,是,38.35,38.35,38.35,38.35,0.0,0.0,0.0
6838,台新藥,2026-04-17,30.5,-1.2,254801,7853956,,否,是,30.5,30.5,30.5,30.5,0.0,0.0,0.0
6854,錼創科技-KY創,2026-04-17,167.5,14.0,2008834,327838852,,否,是,167.5,167.5,167.5,167.5,0.0,0.0,0.0
6861,睿生光電,2026-04-17,161.5,13.5,6252019,1004649925,,否,是,161.5,161.5,161.5,161.5,0.0,0.0,0.0
6862,三集瑞-KY,2026-04-17,188.5,-6.0,1096557,211229382,,否,是,188.5,188.5,188.5,188.5,0.0,0.0,0.0
6863,永道-KY,2026-04-17,99.0,-3.0,103432,10381853,,否,是,99.0,99.0,99.0,99.0,0.0,0.0,0.0
6869,雲豹能源,2026-04-17,87.2,0.7,490803,42903347,,否,是,87.2,87.2,87.2,87.2,0.0,0.0,0.0
6873,泓德能源,2026-04-17,90.6,1.8,922958,83349779,,否,是,90.6,90.6,90.6,90.6,0.0,0.0,0.0
6885,全福生技,2026-04-17,23.95,-0.8,320079,7716545,,否,是,23.95,23.95,23.95,23.95,0.0,0.0,0.0
6887,寶綠特-KY,2026-04-17,42.05,-0.35,40000,1694600,,否,是,42.05,42.05,42.05,42.05,0.0,0.0,0.0
6890,來億-KY,2026-04-17,175.5,3.5,1473386,262464432,,否,是,175.5,175.5,175.5,175.5,0.0,0.0,0.0
6901,鑽石投資,2026-04-17,14.5,-0.3,823574,11960063,,否,是,14.5,14.5,14.5,14.5,0.0,0.0,0.0
6902,GOGOLOOK,2026-04-17,99.1,5.2,1655170,164413258,,否,是,99.1,99.1,99.1,99.1,0.0,0.0,0.0
6906,現觀科,2026-04-17,67.5,0.1,44722,2998560,,否,是,67.5,67.5,67.5,67.5,0.0,0.0,0.0
6908,宏碁遊戲-創,2026-04-17,41.55,2.65,83284,3465746,,否,是,41.55,41.55,41.55,41.55,0.0,0.0,0.0
6909,創控,2026-04-17,64.9,5.9,7113388,437459362,,否,是,64.9,64.9,64.9,64.9,0.0,0.0,0.0
6914,阜爾運通,2026-04-17,151.5,-0.5,75929,11556851,,否,是,151.5,151.5,151.5,151.5,0.0,0.0,0.0
6916,華凌,2026-04-17,18.9,-0.1,19277,359138,,否,是,18.9,18.9,18.9,18.9,0.0,0.0,0.0
6918,愛派司,2026-04-17,74.0,-0.7,83458,6154498,,否,是,74.0,74.0,74.0,74.0,0.0,0.0,0.0
6919,康霈*,2026-04-17,108.0,1.0,4014842,430446889,,否,是,108.0,108.0,108.0,108.0,0.0,0.0,0.0
6921,嘉雨思-創,2026-04-17,86.2,6.5,122203,10225487,,否,是,86.2,86.2,86.2,86.2,0.0,0.0,0.0
6923,中台,2026-04-17,82.8,6.7,808850,66168589,,否,是,82.8,82.8,82.8,82.8,0.0,0.0,0.0
6924,榮惠-KY創,2026-04-17,89.0,7.4,87646,7637765,,否,是,89.0,89.0,89.0,89.0,0.0,0.0,0.0
6928,攸泰科技,2026-04-17,48.8,0.75,132869,6413092,,否,是,48.8,48.8,48.8,48.8,0.0,0.0,0.0
6931,青松健康,2026-04-17,50.3,0.1,66377,3330266,,否,是,50.3,50.3,50.3,50.3,0.0,0.0,0.0
6933,AMAX-KY,2026-04-17,196.0,13.5,1522441,289267707,,否,是,196.0,196.0,196.0,196.0,0.0,0.0,0.0
6934,心誠鎂,2026-04-17,89.2,-8.4,448486,40960538,,否,是,89.2,89.2,89.2,89.2,0.0,0.0,0.0
6936,永鴻生技,2026-04-17,35.7,0.2,53584,1908344,,否,是,35.7,35.7,35.7,35.7,0.0,0.0,0.0
6937,天虹,2026-04-17,306.0,2.5,932818,286741747,,否,是,306.0,306.0,306.0,306.0,0.0,0.0,0.0
6944,兆聯實業,2026-04-17,917.0,15.0,770742,698374723,,否,是,917.0,917.0,917.0,917.0,0.0,0.0,0.0
6949,沛爾生醫-創,2026-04-17,770.0,-10.0,71355,55022126,,否,是,770.0,770.0,770.0,770.0,0.0,0.0,0.0
6951,青新-創,2026-04-17,82.1,-0.1,40242,3302603,,否,是,82.1,82.1,82.1,82.1,0.0,0.0,0.0
6952,大武山,2026-04-17,40.5,0.2,24090,979321,,否,是,40.5,40.5,40.5,40.5,0.0,0.0,0.0
6955,邦睿生技-創,2026-04-17,165.0,-3.0,16005,2638818,,否,是,165.0,165.0,165.0,165.0,0.0,0.0,0.0
6957,裕慶-KY,2026-04-17,163.5,-3.0,59378,9761652,,否,是,163.5,163.5,163.5,163.5,0.0,0.0,0.0
6958,日盛台駿,2026-04-17,19.9,-0.15,226046,4453588,,否,是,19.9,19.9,19.9,19.9,0.0,0.0,0.0
6958A,日盛台駿甲特,2026-04-17,18.7,-0.05,6000,112200,,否,是,18.7,18.7,18.7,18.7,0.0,0.0,0.0
6962,奕力-KY,2026-04-17,35.0,0.2,3765396,132095866,,否,是,35.0,35.0,35.0,35.0,0.0,0.0,0.0
6965,中傑-KY,2026-04-17,89.7,0.4,30182,2704956,,否,是,89.7,89.7,89.7,89.7,0.0,0.0,0.0
6969,成信實業*-創,2026-04-17,29.8,0.45,68764,2025191,,否,是,29.8,29.8,29.8,29.8,0.0,0.0,0.0
6988,威力暘-創,2026-04-17,14.85,0.15,14000,208400,,否,是,14.85,14.85,14.85,14.85,0.0,0.0,0.0
6994,富威電力,2026-04-17,73.4,4.1,919641,66806436,,否,是,73.4,73.4,73.4,73.4,0.0,0.0,0.0
7610,聯友金屬-創,2026-04-17,638.0,-9.0,783092,494391562,,否,是,638.0,638.0,638.0,638.0,0.0,0.0,0.0
7631,聚賢研發-創,2026-04-17,137.0,-0.5,434653,61786421,,否,是,137.0,137.0,137.0,137.0,0.0,0.0,0.0
7705,三商餐飲,2026-04-17,34.8,-0.35,37050,1291667,,否,是,34.8,34.8,34.8,34.8,0.0,0.0,0.0
7711,永擎,2026-04-17,301.0,-4.0,558269,167998933,,否,是,301.0,301.0,301.0,301.0,0.0,0.0,0.0
7721,微程式,2026-04-17,87.5,-4.4,1057512,93414212,,否,是,87.5,87.5,87.5,87.5,0.0,0.0,0.0
7722,LINEPAY,2026-04-17,305.0,-5.0,101004,31049729,,否,是,305.0,305.0,305.0,305.0,0.0,0.0,0.0
7730,暉盛-創,2026-04-17,172.5,-18.5,197698,35861920,,否,是,172.5,172.5,172.5,172.5,0.0,0.0,0.0
7732,金興精密,2026-04-17,35.0,0.0,22014,770454,,否,是,35.0,35.0,35.0,35.0,0.0,0.0,0.0
7736,虎山,2026-04-17,80.1,-0.5,31195,2503481,,否,是,80.1,80.1,80.1,80.1,0.0,0.0,0.0
7740,熙特爾-創,2026-04-17,178.0,-2.5,106375,19060610,,否,是,178.0,178.0,178.0,178.0,0.0,0.0,0.0
7749,意騰-KY,2026-04-17,411.5,-0.5,183257,75479164,,否,是,411.5,411.5,411.5,411.5,0.0,0.0,0.0
7750,新代,2026-04-17,1810.0,140.0,554306,972740445,,否,是,1810.0,1810.0,1810.0,1810.0,0.0,0.0,0.0
7765,中華資安,2026-04-17,232.0,-3.5,46083,10809835,,否,是,232.0,232.0,232.0,232.0,0.0,0.0,0.0
7769,鴻勁,2026-04-17,4500.0,205.0,1896445,8430113505,,否,是,4500.0,4500.0,4500.0,4500.0,0.0,0.0,0.0
7780,大研生醫*,2026-04-17,20.35,-0.35,2989693,60886488,,否,是,20.35,20.35,20.35,20.35,0.0,0.0,0.0
7786,東方風能,2026-04-17,138.0,-4.5,167447,23386583,,否,是,138.0,138.0,138.0,138.0,0.0,0.0,0.0
7788,松川精密,2026-04-17,163.0,11.5,980330,157329379,,否,是,163.0,163.0,163.0,163.0,0.0,0.0,0.0
7791,皇家可口,2026-04-17,66.2,0.6,69883,4608132,,否,是,66.2,66.2,66.2,66.2,0.0,0.0,0.0
7795,長廣,2026-04-17,399.5,4.5,680482,271088196,,否,是,399.5,399.5,399.5,399.5,0.0,0.0,0.0
7799,禾榮科,2026-04-17,388.5,-7.0,489627,196522560,,否,是,388.5,388.5,388.5,388.5,0.0,0.0,0.0
7822,倍利科,2026-04-17,1575.0,-70.0,560294,889769470,,否,是,1575.0,1575.0,1575.0,1575.0,0.0,0.0,0.0
