股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00400A,主動國泰動能高息,2026-06-10,13.97,-0.66,-4.51,48668225,695187367,綠增,否,是,14.51,14.64,14.13,13.0,-1.7601,2.0846,1.0401
00401A,主動摩根台灣鑫收,2026-06-10,13.21,-0.52,-3.79,8383782,112898569,綠增,否,是,13.6,13.63,13.2,12.2,-0.3809,2.0063,1.7024
00402A,主動安聯美國科技,2026-06-10,9.47,-0.54,-5.39,159821306,1524495541,,是,,9.73,,,,,,
00403A,主動統一升級50,2026-06-10,10.04,-0.37,-3.55,558215786,5712790562,綠增,否,,10.32,10.51,10.34,,-3.5527,-0.5961,0.1211
00404A,主動聯博動能50,2026-06-10,9.59,-0.37,-3.71,50810731,496717889,,是,,9.8,9.9,,,-1.98,,
00405A,主動富邦台灣龍耀,2026-06-10,9.22,-0.26,-2.74,400762377,3746282243,,是,,9.34,9.51,,,-3.5117,,
0050,元大台灣50,2026-06-10,100.25,-3.25,-3.14,192916596,19540045300,綠增,否,是,103.68,103.8,100.1,91.68,-0.2405,2.9148,1.738
0051,元大中型100,2026-06-10,136.15,-5.7,-4.02,183533,25507895,綠增,是,是,141.72,141.94,137.53,128.47,-0.3095,2.1372,1.6839
0052,富邦科技,2026-06-10,58.25,-1.9,-3.16,46858320,2764589525,綠增,否,是,60.63,60.92,58.86,54.05,-0.9637,2.4552,1.6011
0053,元大電子,2026-06-10,227.3,-10.65,-4.48,58669,13705914,綠增,否,是,237.72,239.06,231.1,210.51,-1.1107,2.3155,1.5869
0055,元大MSCI金融,2026-06-10,39.55,-0.75,-1.86,1344737,53429043,紅縮,否,是,39.1,37.28,35.6,34.17,10.247,7.1232,3.7252
0056,元大高股息,2026-06-10,49.62,-1.63,-3.18,73135286,3678694375,紅轉綠,否,是,51.35,51.01,48.36,43.86,1.3419,4.7107,3.4217
0057,富邦摩台,2026-06-10,293.7,-12.85,-4.19,71435,21545568,綠增,是,是,306.63,307.23,297.49,272.44,-0.3898,2.7233,1.568
0061,元大寶滬深,2026-06-10,24.26,-0.07,-0.29,335307,8159382,綠增,否,否,24.7,24.88,24.92,24.46,-1.3891,-0.3325,-0.328
006203,元大MSCI台灣,2026-06-10,183.5,-4.65,-2.47,12811,2367043,綠增,否,是,188.52,188.58,182.03,167.19,-0.0636,2.788,1.6515
006204,永豐臺灣加權,2026-06-10,219.3,-4.35,-1.95,37122,8247778,紅轉綠,否,是,224.64,224.12,216.23,200.15,0.4696,2.9491,1.9568
006205,富邦上証,2026-06-10,39.79,0.19,0.48,955129,38047238,綠增,否,否,40.15,40.53,40.92,40.57,-1.8576,-1.2089,-0.8973
006206,元大上證50,2026-06-10,35.99,0.43,1.21,159769,5748876,綠縮,是,否,36.07,36.3,36.71,36.83,-1.2431,-0.9956,-1.2097
