股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00411A,主動統一前沿科技,2026-09-18,10.13,0.22,2.22,90136009000,0,紅增,是,,9.8,9.82,9.73,,-0.2239,0.9566,0.2008
006201,元大富櫃50,2026-09-18,46.05,1.71,3.86,373284000,0,紅增,是,,44.44,44.54,43.82,,-0.4748,1.2916,2.7503
00679B,元大美債20年,2026-09-18,25.69,0.17,0.67,12098830000,0,綠縮,否,,25.43,25.56,25.88,,-0.9889,-0.915,-1.2516
00687B,國泰20年美債,2026-09-18,26.7,0.16,0.6,12557023000,0,綠縮,否,,26.57,26.79,27.09,,-1.673,-1.1511,-1.1478
00687C,國泰20年美債+櫃U,2026-09-18,9.06,0.08,0.89,25000000,0,綠轉紅,否,,8.98,9.03,9.07,,-1.2321,-0.6707,-0.4827
00694B,富邦美債1-3,2026-09-18,41.66,-0.07,-0.17,1371991000,0,綠縮,是,,41.61,41.62,41.86,,-0.0528,-0.3185,-0.4731
00695B,富邦美債7-10,2026-09-18,34.25,0.02,0.06,441216000,0,綠縮,否,,34.16,34.32,34.7,,-0.9627,-0.9695,-0.8699
00696B,富邦美債20年,2026-09-18,27.99,0.19,0.68,3288231000,0,綠轉紅,是,,27.71,27.84,28.1,,-0.9721,-0.7804,-0.9833
00697B,元大美債7-10,2026-09-18,34.82,0.03,0.09,407416000,0,綠縮,否,,34.73,34.89,35.27,,-0.9527,-0.9538,-0.8448
00719B,元大美債1-3,2026-09-18,30.98,-0.09,-0.29,2728008000,0,綠縮,否,,30.94,30.95,31.13,,-0.0646,-0.3509,-0.411
00720B,元大投資級公司債,2026-09-18,31.99,0.2,0.63,4590649000,0,紅增,否,,31.61,31.66,31.89,,-0.3154,-0.4152,-0.6914
00722B,群益投資級電信債,2026-09-18,34.37,0.21,0.61,2749594000,0,紅增,否,,33.96,34.02,34.24,,-0.3638,-0.4157,-0.7321
00723B,群益投資級科技債,2026-09-18,29.47,0.18,0.61,118000000,0,紅增,否,,29.16,29.17,29.39,,-0.1096,-0.3076,-0.5515
00724B,群益投資級金融債,2026-09-18,32.59,0.13,0.4,4858455000,0,綠轉紅,否,,32.32,32.45,32.79,,-0.7859,-0.8283,-0.8902
00725B,國泰投資級公司債,2026-09-18,34.07,0.19,0.56,2302696000,0,紅增,否,,33.68,33.73,33.98,,-0.296,-0.4104,-0.6592
00726B,國泰新興投等債,2026-09-18,31.9,0.08,0.25,394702000,0,綠縮,是,,31.78,31.92,32.19,,-0.9106,-0.8326,-1.0163
00727B,國泰優選非投等債,2026-09-18,39.17,-0.15,-0.38,136586000,0,綠轉紅,否,,39.15,39.15,39.34,,0.0102,-0.2217,-0.3268
00734B,台新JPM新興債,2026-09-18,15.33,0.02,0.13,325000000,0,綠縮,是,,15.24,15.32,15.44,,-0.9617,-0.6616,-0.9908
00740B,富邦全球投等債,2026-09-18,37.2,0.15,0.4,2658110000,0,綠轉紅,是,,36.91,37.03,37.37,,-0.6353,-0.5719,-0.8122
00741B,富邦全球非投等債,2026-09-18,36.93,-0.03,-0.08,104179000,0,綠縮,否,,36.91,36.99,37.27,,-0.4155,-0.4522,-0.6782
00746B,富邦A級公司債,2026-09-18,34.32,0.17,0.5,616246000,0,綠轉紅,否,,34.0,34.11,34.45,,-0.6545,-0.7246,-0.8391
00749B,凱基新興債10+,2026-09-18,30.67,0.11,0.36,123000000,0,綠轉紅,否,,30.43,30.56,30.81,,-0.8536,-0.6372,-0.8082
00750B,凱基科技債10+,2026-09-18,31.78,0.15,0.47,133000000,0,紅增,否,,31.45,31.49,31.72,,-0.2601,-0.3355,-0.6687
00751B,元大AAA至A公司債,2026-09-18,30.47,0.21,0.69,7207659000,0,紅增,否,,30.1,30.15,30.41,,-0.3774,-0.5213,-0.7977
00754B,群益AAA-AA公司債,2026-09-18,31.52,0.14,0.45,105000000,0,紅增,否,,31.17,31.18,31.56,,-0.0449,-0.3197,-1.1512
00755B,群益投資級公用債,2026-09-18,31.55,0.14,0.45,102440000,0,綠轉紅,否,,31.23,31.31,31.7,,-0.5224,-0.5842,-1.2092
00756B,群益投等新興公債,2026-09-18,30.09,0.2,0.67,215870000,0,綠縮,否,,29.87,30.03,30.48,,-1.0665,-0.9238,-1.3321
00758B,復華能源債,2026-09-18,50.2,0.22,0.44,100040000,0,綠轉紅,否,,49.65,49.78,50.24,,-0.5289,-0.3941,-0.9504
00759B,復華製藥債,2026-09-18,52.7,0.35,0.67,100000000,0,綠轉紅,否,,52.09,52.25,52.84,,-0.6106,-0.6276,-1.109
00760B,復華新興企業債,2026-09-18,51.9,0.1,0.19,100836000,0,綠縮,否,,51.57,51.79,52.43,,-0.8269,-0.833,-1.0895
00761B,國泰A級公司債,2026-09-18,33.02,0.19,0.58,677049000,0,綠轉紅,是,,32.66,32.74,33.15,,-0.4814,-0.5921,-1.1685
00764B,群益25年美債,2026-09-18,26.64,0.19,0.72,8938602000,0,綠縮,是,,26.49,26.7,26.99,,-1.5756,-1.0929,-1.1573
00768B,復華20年美債,2026-09-18,47.85,0.35,0.74,697089000,0,綠轉紅,否,,47.35,47.59,48.24,,-0.9828,-0.8212,-1.4213
