股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00400A,主動國泰動能高息,2026-05-28,14.4,-0.52,-3.49,95941779,1406295250,紅縮,是,是,14.54,13.78,13.77,12.64,11.6383,2.2173,3.3058
00401A,主動摩根台灣鑫收,2026-05-28,13.4,-0.36,-2.62,13227451,179783792,紅縮,否,是,13.52,12.94,12.78,11.9,9.422,2.9936,3.319
00403A,主動統一升級50,2026-05-28,10.47,-0.31,-2.88,808934322,8586486861,,否,,10.56,10.2,,,7.272,,
0050,元大台灣50,2026-05-28,100.5,-2.05,-2.0,152915695,15600509184,紅縮,是,是,100.74,97.55,96.55,88.98,6.7727,2.2431,2.522
0051,元大中型100,2026-05-28,137.6,-3.5,-2.48,169836,23656587,紅縮,否,是,139.37,134.38,132.88,125.63,7.7214,2.2174,2.7787
0052,富邦科技,2026-05-28,59.4,-1.05,-1.74,48065607,2899154493,紅縮,否,是,59.51,57.5,56.79,52.57,7.2445,2.4681,2.7594
0053,元大電子,2026-05-28,233.85,-4.95,-2.07,29832,7077131,紅縮,否,是,234.53,225.89,223.21,204.12,7.954,2.5537,2.876
0055,元大MSCI金融,2026-05-28,34.85,-0.04,-0.11,615455,21524322,紅增,否,是,34.5,34.15,33.93,33.58,2.0471,0.9549,0.9296
0056,元大高股息,2026-05-28,48.83,-0.81,-1.63,62678749,3093229680,紅縮,否,是,48.56,46.52,45.29,42.46,9.1575,3.6353,4.3815
0057,富邦摩台,2026-05-28,299.6,-4.6,-1.51,76322,22844882,紅縮,是,是,299.15,290.08,287.78,264.6,6.4515,1.7467,2.4693
0061,元大寶滬深,2026-05-28,24.75,-0.3,-1.2,225893,5604060,綠增,否,是,24.87,24.86,24.91,24.35,0.1127,-0.6712,0.6303
006203,元大MSCI台灣,2026-05-28,182.75,-3.7,-1.98,59782,11187798,紅縮,是,是,183.31,177.47,175.91,162.41,6.7991,2.0646,2.4117
006204,永豐臺灣加權,2026-05-28,216.65,-4.7,-2.12,3868,846535,紅縮,否,是,217.8,210.7,208.16,195.03,6.9797,2.3015,2.6493
006205,富邦上証,2026-05-28,40.63,-0.48,-1.17,1358206,55242374,綠增,是,是,40.93,41.05,41.29,40.52,-0.6071,-1.1772,0.3402
006206,元大上證50,2026-05-28,36.09,-0.53,-1.45,60079,2181130,綠增,否,否,36.52,36.77,37.29,36.88,-1.3505,-1.9256,-0.2381
006207,復華滬深,2026-05-28,33.35,-0.26,-0.77,517565,17202227,綠增,是,是,33.39,33.31,33.4,32.74,0.4452,-0.6561,0.613
006208,富邦台50,2026-05-28,233.15,-4.45,-1.87,5183837,1226217333,紅縮,否,是,233.31,225.77,223.6,206.09,6.915,2.244,2.4936
00631L,元大台灣50正2,2026-05-28,34.47,-1.26,-3.53,341625355,12035512180,紅縮,是,是,34.61,32.62,32.17,28.13,12.9643,3.6835,4.5996
00632R,元大台灣50反1,2026-05-28,10.73,0.23,2.19,193495030,2049638387,綠縮,否,否,10.7,11.11,11.23,12.13,-7.1515,-2.3726,-2.5893
00633L,富邦上証正2,2026-05-28,52.3,-0.25,-0.48,2977078,154530053,綠縮,否,是,51.93,51.77,52.4,51.25,0.62,-1.5967,0.2775
00634R,富邦上証反1,2026-05-28,3.07,0.02,0.66,297000,908100,紅縮,否,否,3.07,3.08,3.07,3.11,-0.6464,0.7185,-0.3087
00635U,期元大S&P黃金,2026-05-28,45.73,-1.34,-2.85,10326512,475410476,綠增,是,否,46.98,47.23,48.02,49.49,-1.0823,-2.3506,-0.8865
00636,國泰中國A50,2026-05-28,28.56,-0.09,-0.31,420337,11962391,綠縮,否,是,28.45,28.43,28.56,28.25,0.1478,-0.7158,0.2685
00636K,國泰中國A50+U,2026-05-28,9.14,-0.05,-0.54,200,1828,紅增,否,是,9.11,9.09,9.08,8.94,0.574,-0.1319,0.3425
00637L,元大滬深300正2,2026-05-28,21.54,-0.11,-0.51,38604690,827232601,綠縮,否,是,21.39,21.36,21.62,21.14,0.2156,-1.6618,0.2528
00638R,元大滬深300反1,2026-05-28,6.52,0.01,0.15,257000,1676530,紅縮,是,否,6.55,6.58,6.56,6.66,-0.7571,0.4888,-0.4025
00639,富邦深100,2026-05-28,18.29,-0.03,-0.16,1342602,24329430,紅增,否,是,18.11,17.92,17.79,17.21,2.1773,0.5217,1.5212
00640L,富邦日本正2,2026-05-28,98.8,-1.8,-1.79,423210,41774470,紅縮,否,是,100.26,98.41,96.92,94.77,3.8211,1.0214,2.2605
00641R,富邦日本反1,2026-05-28,3.91,0.05,1.3,1410176,5492190,綠縮,否,否,3.88,3.92,3.95,4.0,-2.1706,-0.6591,-1.1876
00642U,期元大S&P石油,2026-05-28,29.06,0.09,0.31,8508006,245697016,綠增,是,是,29.3,30.69,30.6,28.48,-8.6306,-1.2613,-0.6605
00643,群益深証中小,2026-05-28,20.22,-0.23,-1.12,2527750,51080787,綠增,否,是,20.33,20.26,20.27,19.47,0.6537,-0.5937,1.0395
00645,富邦日本,2026-05-28,54.55,-0.6,-1.09,199514,10909091,紅縮,否,是,55.03,54.52,54.07,53.46,1.8697,0.5162,1.1741
00646,元大S&P500,2026-05-28,74.1,-0.25,-0.34,2404006,178307477,紅縮,否,是,74.34,73.96,73.26,71.09,1.0466,0.8111,1.2402
00647L,元大S&P500正2,2026-05-28,134.1,-0.9,-0.67,127496,17105869,紅縮,否,是,134.81,133.16,130.99,123.88,2.5015,1.3548,2.3081
00648R,元大S&P500反1,2026-05-28,3.99,0.02,0.5,1165001,4633974,綠縮,是,否,3.98,4.01,4.05,4.18,-1.7778,-0.8399,-1.2311
00650L,復華香港正2,2026-05-28,16.08,-0.66,-3.94,10904048,177308917,綠增,是,否,16.79,17.06,17.49,17.61,-3.0824,-3.7633,-0.8811
00651R,復華香港反1,2026-05-28,5.4,0.12,2.27,330270,1774005,紅增,否,是,5.29,5.25,5.19,5.18,1.2644,1.9011,0.3384
00652,富邦印度,2026-05-28,31.83,-0.5,-1.55,451878,14450554,紅縮,否,否,32.25,32.21,32.46,33.43,0.2424,-0.2199,-0.6414
00653L,富邦印度正2,2026-05-28,44.79,-1.29,-2.8,320464,14431707,紅縮,否,否,45.77,45.46,45.79,47.05,1.3956,0.4441,-0.6088
00654R,富邦印度反1,2026-05-28,6.9,0.15,2.22,121130,829209,綠縮,是,是,6.8,6.85,6.83,6.75,-1.3917,-0.465,0.0953
00655L,國泰中國A50正2,2026-05-28,36.43,-0.23,-0.63,1657018,60013607,綠縮,否,是,36.17,36.07,36.51,35.72,0.5114,-1.6065,0.243
00656R,國泰中國A50反1,2026-05-28,5.79,0.03,0.52,228350,1318143,紅縮,否,否,5.81,5.83,5.8,5.88,-0.82,0.5693,-0.2665
00657,國泰日經225,2026-05-28,75.35,-1.1,-1.44,15372,1153207,紅縮,否,是,75.82,73.72,73.22,70.6,5.8495,1.1872,2.0238
00657K,國泰日經225+U,2026-05-28,23.89,-0.55,-2.25,200,4778,紅縮,否,是,24.16,23.5,23.17,22.44,5.7711,1.206,2.0163
00660,元大歐洲50,2026-05-28,43.8,-0.46,-1.04,15522,682929,紅縮,否,是,44.0,43.3,43.03,43.03,3.3202,1.4196,0.8661
00661,元大日經225,2026-05-28,82.8,-1.3,-1.55,232425,19272561,紅縮,是,是,83.41,81.05,80.37,77.57,5.9982,1.433,2.0216
00662,富邦NASDAQ,2026-05-28,120.2,-0.95,-0.78,7448812,897929204,紅縮,否,是,120.56,119.31,117.43,110.69,2.1089,1.1187,2.2887
00663L,國泰臺灣加權正2,2026-05-28,100.6,-4.05,-3.87,21795737,2224975709,紅縮,是,是,101.02,94.43,92.69,80.77,15.0176,4.655,5.1118
00664R,國泰臺灣加權反1,2026-05-28,1.74,0.04,2.35,45479355,77644729,綠縮,否,否,1.73,1.8,1.82,1.96,-7.0815,-2.2826,-2.5751
00665L,富邦恒生國企正2,2026-05-28,9.0,-0.43,-4.56,43540259,397049929,綠增,是,否,9.43,9.61,9.91,10.05,-3.4984,-4.4374,-1.2856
00666R,富邦恒生國企反1,2026-05-28,9.37,0.2,2.18,29000,270590,紅增,否,是,9.17,9.11,8.97,8.94,1.3711,2.2112,0.549
00668,國泰美國道瓊,2026-05-28,57.95,0.1,0.17,215531,12495497,紅縮,否,是,58.01,57.58,57.22,56.49,1.5048,0.8848,0.6863
00668K,國泰美國道瓊+U,2026-05-28,18.51,0.07,0.38,200,3702,紅增,否,是,18.45,18.29,18.17,17.92,1.7091,0.7879,0.6342
00669R,國泰美國道瓊反1,2026-05-28,5.43,0.01,0.18,766083,4156272,綠縮,否,否,5.42,5.49,5.52,5.6,-2.4478,-0.9744,-0.7911
00670L,富邦NASDAQ正2,2026-05-28,212.0,-3.7,-1.72,1057652,225213387,紅縮,否,是,213.34,208.11,202.06,180.31,5.1558,2.2001,4.5452
00671R,富邦NASDAQ反1,2026-05-28,2.43,0.04,1.67,12475751,30053587,綠縮,是,否,2.41,2.45,2.49,2.66,-3.2077,-1.2872,-2.4252
00673R,期元大S&P原油反1,2026-05-28,12.48,-0.05,-0.4,37066712,468246547,紅增,是,否,12.4,11.93,12.0,13.16,8.2591,0.8541,-0.0832
00674R,期元大S&P黃金反1,2026-05-28,28.21,0.84,3.07,262215,7339393,紅增,是,,27.46,27.37,26.96,,0.6671,2.222,0.7793
00675L,富邦臺灣加權正2,2026-05-28,303.9,-13.05,-4.12,4497547,1390951137,紅縮,是,是,305.59,285.62,280.5,244.41,15.0348,4.6036,5.0689
00676R,富邦臺灣加權反1,2026-05-28,5.89,0.1,1.73,12897909,75567273,綠縮,否,否,5.89,6.12,6.19,6.69,-7.2418,-2.3293,-2.667
00678,群益那斯達克生技,2026-05-28,35.58,-0.07,-0.2,126424,4513424,紅縮,否,否,35.72,35.52,35.63,36.14,1.1553,-0.2695,0.2321
00680L,元大美債20正2,2026-05-28,6.74,-0.07,-1.03,20189395,136271951,紅增,否,否,6.76,6.68,6.79,6.95,2.5167,-0.8609,-0.8613
00681R,元大美債20反1,2026-05-28,21.3,0.15,0.71,119000,2524150,綠增,是,是,21.25,21.41,21.25,21.06,-1.456,0.2951,0.3637
00682U,期元大美元指數,2026-05-28,20.4,0.01,0.05,3000,61200,紅縮,否,是,20.39,20.34,20.22,20.04,0.4929,0.728,0.5445
00683L,期元大美元指正2,2026-05-28,21.37,0.2,0.94,46049,982157,紅增,否,是,21.21,21.22,21.03,20.89,-0.1695,0.9273,0.2431
00684R,期元大美元指反1,2026-05-28,15.19,-0.04,-0.26,1000,15190,綠增,否,否,15.23,15.29,15.35,15.42,-0.8594,-0.488,-0.3763
00685L,群益臺灣加權正2,2026-05-28,274.8,-11.2,-3.92,7476940,2096241013,紅縮,是,是,276.12,258.13,253.39,220.69,14.9829,4.6226,5.1138
00686R,群益臺灣加權反1,2026-05-28,1.07,0.02,1.9,7377688,7802192,綠縮,否,否,1.07,1.1,1.11,1.2,-6.655,-2.1277,-2.4934
00688L,國泰20年美債正2,2026-05-28,6.73,-0.07,-1.03,6162569,41554818,紅增,否,否,6.75,6.66,6.77,6.93,2.8015,-0.8191,-0.8418
00689R,國泰20年美債反1,2026-05-28,22.21,0.15,0.68,244000,5402270,綠增,否,是,22.16,22.34,22.16,21.97,-1.59,0.391,0.2964
00690,兆豐藍籌30,2026-05-28,78.1,-2.9,-3.58,1184093,94070586,紅縮,否,是,78.24,74.4,73.41,65.3,10.8844,2.9544,4.0319
00692,富邦公司治理,2026-05-28,87.25,-1.8,-2.02,1772320,156898254,紅縮,否,是,87.51,84.84,84.14,77.84,6.4987,1.9344,2.3477
00693U,期街口S&P黃豆,2026-05-28,22.05,0.13,0.59,857033,18842475,綠縮,否,否,21.97,22.15,22.31,22.05,-1.5678,-1.2484,-0.0784
00700,富邦恒生國企,2026-05-28,16.43,-0.39,-2.32,439174,7237537,綠增,否,否,16.85,17.08,17.39,17.63,-2.658,-2.7396,-0.9032
00701,國泰股利精選30,2026-05-28,33.53,-0.36,-1.06,2448168,82830686,紅縮,是,是,33.17,32.55,31.85,30.64,3.8254,2.4644,2.5139
00702,國泰標普低波高息,2026-05-28,24.07,0.0,0.0,21136,508307,紅縮,否,是,24.05,23.94,23.87,23.75,0.9569,0.5713,0.4249
00703,台新MSCI中國,2026-05-28,18.95,-0.47,-2.42,44850,855201,綠增,否,否,19.44,19.73,20.12,20.53,-2.9165,-2.8794,-1.0159
00706L,期元大S&P日圓正2,2026-05-28,19.15,-0.05,-0.26,862209,16516722,綠縮,否,否,19.23,19.29,19.51,19.4,-0.6305,-1.2795,-0.0205
00708L,期元大S&P黃金正2,2026-05-28,83.85,-5.05,-5.68,7217663,612324929,綠增,是,否,88.5,89.53,92.67,98.66,-2.2639,-4.7961,-1.882
00709,富邦歐洲,2026-05-28,38.44,-0.35,-0.9,39041,1511764,紅縮,否,是,38.73,38.35,38.25,38.3,2.0231,0.6985,0.6341
