股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00400A,主動國泰動能高息,2026-06-17,14.87,0.15,1.02,35003841,515942286,綠縮,否,是,14.33,14.5,14.32,13.16,-2.304,-1.6014,1.248
00401A,主動摩根台灣鑫收,2026-06-17,13.82,0.05,0.36,4078303,56036181,綠縮,否,是,13.52,13.61,13.41,12.35,-1.285,-0.5336,1.6684
00402A,主動安聯美國科技,2026-06-17,9.97,-0.06,-0.6,15719298,156344713,,否,,9.79,9.76,,,0.6578,,
00403A,主動統一升級50,2026-06-17,10.75,0.05,0.47,337856784,3612249218,綠縮,否,,10.35,10.41,10.43,,-1.1466,-1.6446,0.8459
00404A,主動聯博動能50,2026-06-17,10.09,0.0,0.0,23476147,235060718,,否,,9.91,9.86,,,1.1222,-0.4444,
00405A,主動富邦台灣龍耀,2026-06-17,9.39,0.02,0.21,94815077,885390250,,否,,9.23,9.29,,,-1.1775,-2.3654,
00406A,主動中信台灣收益,2026-06-17,10.13,0.05,0.5,24248920,244195809,,否,,9.96,,,,,,
0050,元大台灣50,2026-06-17,106.0,0.1,0.09,100331952,10557198519,綠縮,否,是,102.79,103.78,101.69,92.96,-1.8899,-0.2451,1.7637
0051,元大中型100,2026-06-17,144.3,0.9,0.63,73787,10617832,綠縮,否,是,140.16,141.84,139.53,129.8,-2.3479,-0.4142,1.5132
0052,富邦科技,2026-06-17,62.15,0.3,0.49,26888610,1651542946,綠縮,否,是,60.0,60.76,59.72,54.74,-2.4707,-0.6297,1.5776
0053,元大電子,2026-06-17,242.0,0.2,0.08,33297,8015059,綠縮,否,是,234.55,237.74,234.14,213.48,-2.6481,-1.0262,1.367
0055,元大MSCI金融,2026-06-17,42.66,0.68,1.62,1851533,78967181,紅增,否,是,40.71,39.61,37.07,34.67,5.7342,7.592,5.0377
0056,元大高股息,2026-06-17,51.95,0.4,0.78,29771585,1533732225,綠縮,否,是,50.66,51.33,49.58,44.52,-2.5543,0.6077,2.9569
0057,富邦摩台,2026-06-17,313.65,-0.4,-0.13,16874,5268190,綠縮,否,是,303.75,307.06,301.3,276.22,-2.1298,-0.3974,1.3642
0061,元大寶滬深,2026-06-17,25.28,0.0,0.0,244238,6188753,綠轉紅,否,是,24.78,24.85,24.87,24.52,-0.4978,-0.4448,-0.3885
006203,元大MSCI台灣,2026-06-17,191.25,-0.65,-0.34,31145,5959867,綠縮,是,是,186.81,188.5,184.82,169.46,-1.7823,-0.1959,1.7031
006204,永豐臺灣加權,2026-06-17,228.8,1.05,0.46,4123,937067,綠縮,否,是,222.76,224.49,219.78,202.59,-1.5295,0.0758,1.8537
006205,富邦上証,2026-06-17,41.07,-0.03,-0.07,214865,8833341,綠轉紅,否,是,40.57,40.49,40.75,40.61,0.3959,-0.4181,-0.6981
006206,元大上證50,2026-06-17,37.0,-0.04,-0.11,144265,5331820,紅增,否,是,36.63,36.44,36.54,36.84,1.0705,0.22,-0.7523
006207,復華滬深,2026-06-17,33.82,0.02,0.06,101806,3443020,綠轉紅,否,是,33.27,33.32,33.35,32.94,-0.3475,-0.4659,-0.3645
006208,富邦台50,2026-06-17,246.3,0.95,0.39,4877303,1189741621,綠縮,否,是,238.16,240.35,235.32,215.27,-1.8059,-0.1122,1.7897
00631L,元大台灣50正2,2026-06-17,37.51,0.2,0.54,213209669,7848491558,綠縮,否,是,35.26,36.1,34.99,30.28,-4.527,-1.188,2.6116
00632R,元大台灣50反1,2026-06-17,10.16,-0.03,-0.29,131559786,1349356294,紅縮,否,否,10.51,10.42,10.64,11.67,1.8214,0.2406,-1.9436
00633L,富邦上証正2,2026-06-17,51.95,-1.0,-1.89,1388080,72549856,綠縮,否,是,51.42,52.05,52.06,51.61,-2.3805,-1.398,-0.94
00634R,富邦上証反1,2026-06-17,3.05,0.02,0.66,462039,1406920,紅縮,是,否,3.08,3.06,3.07,3.1,1.1162,0.5581,0.327
00635U,期元大S&P黃金,2026-06-17,45.18,0.01,0.02,3920763,177597822,綠縮,否,否,44.08,45.13,46.12,48.48,-4.5724,-2.9668,-2.4547
00636,國泰中國A50,2026-06-17,28.76,-0.24,-0.83,878872,25262411,綠縮,否,是,28.67,28.73,28.62,28.39,-0.4238,-0.1425,-0.1639
00636K,國泰中國A50+U,2026-06-17,9.15,-0.09,-0.97,200,1830,綠縮,否,是,9.07,9.12,9.12,9.0,-1.1985,-0.7399,-0.2025
00637L,元大滬深300正2,2026-06-17,21.49,-0.4,-1.83,15594260,336735672,綠縮,否,是,21.26,21.52,21.5,21.3,-2.3875,-1.2346,-0.8967
00638R,元大滬深300反1,2026-06-17,6.53,0.1,1.56,79039,515025,紅縮,否,否,6.57,6.53,6.54,6.62,1.2011,0.7557,0.2914
00639,富邦深100,2026-06-17,18.31,0.0,0.0,827504,15164802,綠縮,否,是,17.94,18.08,18.06,17.46,-1.5582,-1.0776,-0.0387
00640L,富邦日本正2,2026-06-17,104.75,1.15,1.11,133293,13981522,綠轉紅,否,是,99.76,100.07,99.77,96.02,-0.6177,-0.5565,0.3167
00641R,富邦日本反1,2026-06-17,3.77,-0.03,-0.79,2594061,9790368,紅轉綠,否,否,3.88,3.88,3.89,3.97,0.0,0.2327,-0.2695
00642U,期元大S&P石油,2026-06-17,24.34,-1.49,-5.77,7810273,191853519,綠增,否,否,27.04,28.27,29.09,28.71,-8.3141,-2.6586,-3.2765
00643,群益深証中小,2026-06-17,20.06,0.2,1.01,3395083,68225465,綠縮,否,是,19.55,19.61,19.93,19.61,-0.6303,-1.783,-1.1435
00645,富邦日本,2026-06-17,56.6,0.35,0.62,152859,8654815,綠轉紅,否,是,55.12,55.15,54.98,53.85,-0.1087,-0.0815,0.2598
00646,元大S&P500,2026-06-17,74.65,-0.25,-0.33,1965566,146915217,綠縮,否,是,73.8,74.07,74.13,71.96,-0.7264,-0.4636,0.0911
00647L,元大S&P500正2,2026-06-17,135.35,-0.35,-0.26,54051,7271942,綠縮,否,是,131.89,133.19,133.72,126.71,-1.9405,-1.4174,-0.0224
00648R,元大S&P500反1,2026-06-17,3.98,0.03,0.76,75030,298070,紅縮,否,否,4.03,4.01,4.0,4.13,1.1033,0.8805,-0.0375
00650L,復華香港正2,2026-06-17,15.64,-0.17,-1.08,5684733,89085947,綠縮,否,否,15.71,16.18,16.55,17.33,-5.6556,-2.67,-3.2255
00651R,復華香港反1,2026-06-17,5.45,0.03,0.55,55955,305376,紅縮,否,是,5.45,5.37,5.32,5.22,3.0234,1.3776,1.5553
00652,富邦印度,2026-06-17,32.96,0.26,0.8,257172,8451083,紅增,否,否,32.15,31.83,32.02,33.0,2.0376,-0.0094,0.0547
00653L,富邦印度正2,2026-06-17,46.42,0.24,0.52,441206,20426477,紅增,是,是,44.69,44.12,44.81,46.37,2.6176,-0.9363,-0.0357
00654R,富邦印度反1,2026-06-17,6.74,-0.03,-0.44,184124,1245921,綠增,是,否,6.9,6.95,6.89,6.8,-1.315,0.6663,-0.0508
00655L,國泰中國A50正2,2026-06-17,36.25,-0.77,-2.08,834191,30476301,綠縮,否,是,35.91,36.36,36.32,35.99,-2.4396,-1.335,-0.8855
00656R,國泰中國A50反1,2026-06-17,5.78,0.08,1.4,86101,494399,紅縮,否,否,5.82,5.78,5.79,5.85,1.2883,0.6967,0.2683
00657,國泰日經225,2026-06-17,81.45,0.4,0.49,24186,1971357,紅增,否,是,78.02,77.72,76.29,72.32,0.762,0.8303,1.5474
