股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
006201,元大富櫃50,2026-06-05,48.12,-1.72,-3.45,340694000,0,綠增,是,是,49.76,49.34,48.0,40.82,1.7253,4.5603,2.6037
00679B,元大美債20年,2026-06-05,26.55,0.06,0.23,30321375000,0,紅增,否,否,26.48,26.35,26.39,26.91,0.984,0.4958,-0.3022
00687B,國泰20年美債,2026-06-05,27.87,0.05,0.18,21160101000,0,紅增,否,否,27.82,27.67,27.57,28.04,1.09,1.0406,-0.0236
00687C,國泰20年美債+櫃U,2026-06-05,9.36,0.01,0.11,25000000,0,紅縮,是,是,9.35,9.29,9.25,9.34,1.3654,1.3859,0.1137
00694B,富邦美債1-3,2026-06-05,41.54,0.09,0.22,136646000,0,紅增,否,否,41.43,41.41,41.44,41.76,0.0773,-0.1591,-0.0615
00695B,富邦美債7-10,2026-06-05,34.99,0.07,0.2,162155000,0,紅增,是,否,34.97,34.9,34.9,35.41,0.4078,0.2327,-0.1288
00696B,富邦美債20年,2026-06-05,28.95,0.08,0.28,2195158000,0,紅增,是,否,28.9,28.73,28.62,29.2,1.1552,1.0765,-0.0157
00697B,元大美債7-10,2026-06-05,35.53,0.1,0.28,343913000,0,紅增,否,否,35.46,35.42,35.43,35.86,0.2431,0.1867,-0.1634
00719B,元大美債1-3,2026-06-05,30.88,0.05,0.16,2614262000,0,紅增,否,否,30.8,30.79,30.82,31.11,0.052,-0.1589,-0.0762
00720B,元大投資級公司債,2026-06-05,33.18,0.09,0.27,6192858000,0,紅縮,否,是,33.11,32.95,32.78,33.09,0.9513,0.9806,0.2523
00722B,群益投資級電信債,2026-06-05,36.16,0.09,0.25,3937833000,0,紅縮,是,否,36.13,35.94,35.74,36.16,1.046,1.0714,0.2553
00723B,群益投資級科技債,2026-06-05,31.02,0.1,0.32,245000000,0,紅縮,是,是,31.0,30.8,30.6,30.89,1.3403,1.1961,0.341
00724B,群益投資級金融債,2026-06-05,33.78,0.11,0.33,4020415000,0,紅增,是,否,33.71,33.6,33.51,33.82,0.6869,0.6531,0.1105
00725B,國泰投資級公司債,2026-06-05,35.28,0.1,0.28,4990588000,0,紅縮,否,是,35.22,35.04,34.87,35.14,1.0269,0.9653,0.2588
00726B,國泰新興投等債,2026-06-05,32.84,0.11,0.34,154959000,0,紅增,否,否,32.76,32.61,32.6,33.01,0.9428,0.4807,-0.0659
00727B,國泰優選非投等債,2026-06-05,39.39,0.11,0.28,125782000,0,紅增,是,否,39.31,39.25,39.22,39.61,0.296,0.0612,0.0472
