股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00400A,主動國泰動能高息,2026-04-30,12.92,0.21,1.65,70041137,904555892,紅增,否,是,12.78,12.52,12.22,12.02,4.2244,3.5564,1.7908
00401A,主動摩根台灣鑫收,2026-04-30,12.03,0.15,1.26,16340499,197166613,紅增,否,是,11.88,11.72,11.55,11.43,2.6093,2.2054,1.1076
0050,元大台灣50,2026-04-30,90.5,-0.25,-0.28,89209769,8111730781,紅縮,否,是,91.24,88.36,86.25,84.85,6.7384,4.1797,2.0981
0051,元大中型100,2026-04-30,126.75,1.2,0.96,136325,17274494,紅增,否,是,125.0,124.16,122.73,121.78,1.3705,1.5126,0.7594
0052,富邦科技,2026-04-30,52.65,-0.4,-0.75,47706881,2530600091,紅縮,否,是,53.41,51.68,50.87,50.32,6.9098,3.3597,1.6791
0053,元大電子,2026-04-30,209.25,1.8,0.87,28564,5990724,紅縮,否,是,209.57,202.78,197.31,193.67,6.9289,4.5689,2.2967
0055,元大MSCI金融,2026-04-30,33.25,-0.25,-0.75,185570,6203099,綠增,否,否,33.25,33.31,33.37,33.41,-0.3835,-0.2754,-0.1377
0056,元大高股息,2026-04-30,40.9,-0.03,-0.07,46787938,1923116945,綠增,否,否,40.96,41.25,41.11,41.02,-1.3916,-0.0267,-0.0134
0057,富邦摩台,2026-04-30,270.5,0.85,0.32,4919,1332154,紅縮,否,是,271.41,262.91,256.3,251.9,6.6821,4.3066,2.1634
0061,元大寶滬深,2026-04-30,24.4,0.13,0.54,167788,4099959,紅增,否,是,24.25,24.21,24.12,24.05,0.3227,0.4773,0.239
006203,元大MSCI台灣,2026-04-30,164.95,-1.05,-0.63,24261,4033895,紅縮,是,是,166.74,161.54,157.62,155.01,6.6453,4.2058,2.1119
006204,永豐臺灣加權,2026-04-30,196.5,0.15,0.08,22751,4453761,紅縮,否,是,196.31,192.83,189.92,187.97,3.6703,2.4737,1.2407
006205,富邦上証,2026-04-30,40.79,0.38,0.94,659325,26807069,紅增,否,是,40.37,40.27,40.18,40.12,0.4779,0.3439,0.172
006206,元大上證50,2026-04-30,37.22,0.3,0.81,135807,5054869,紅增,否,是,36.88,36.78,36.71,36.66,0.5179,0.3383,0.1692
006207,復華滬深,2026-04-30,32.85,0.26,0.8,661689,21724624,紅增,是,是,32.57,32.55,32.45,32.39,0.1476,0.3298,0.1651
006208,富邦台50,2026-04-30,209.75,-0.7,-0.33,4074229,859954663,紅縮,否,是,211.55,204.82,199.83,196.51,6.7949,4.25,2.1338
00631L,元大台灣50正2,2026-04-30,28.61,-0.21,-0.73,172580528,4991490951,紅縮,否,是,28.95,27.69,26.64,25.94,9.5588,6.4634,3.2579
00632R,元大台灣50反1,2026-04-30,11.98,0.05,0.42,104448274,1244878454,綠縮,否,否,11.89,12.2,12.46,12.63,-4.9552,-3.2432,-1.6153
00633L,富邦上証正2,2026-04-30,51.55,0.15,0.29,2465230,127539894,紅增,否,是,51.35,51.19,50.84,50.61,0.6468,0.8373,0.4197
00634R,富邦上証反1,2026-04-30,3.11,0.0,0.0,419690,1298085,綠縮,是,否,3.11,3.11,3.13,3.14,-0.1924,-0.4474,-0.2233
00635U,期元大S&P黃金,2026-04-30,47.82,-0.44,-0.91,5341635,256042273,綠增,否,否,48.69,49.39,49.95,50.32,-2.7792,-1.7955,-0.8959
00636,國泰中國A50,2026-04-30,28.32,0.17,0.6,1270141,35965514,紅增,否,是,28.15,28.15,28.11,28.08,-0.0071,0.1387,0.0694
00636K,國泰中國A50+U,2026-04-30,8.98,-0.01,-0.11,200,1796,紅縮,否,是,8.99,8.94,8.9,8.87,0.9436,0.7661,0.3836
00637L,元大滬深300正2,2026-04-30,21.28,0.07,0.33,15953462,340096003,紅增,否,是,21.17,21.11,20.98,20.89,0.5224,0.7829,0.3924
00638R,元大滬深300反1,2026-04-30,6.66,0.02,0.3,657040,4369935,綠縮,否,否,6.66,6.67,6.7,6.72,-0.3292,-0.5219,-0.2605
00639,富邦深100,2026-04-30,17.22,0.1,0.58,1819133,31319010,紅增,是,是,17.05,17.03,16.96,16.91,0.1763,0.4956,0.2483
00640L,富邦日本正2,2026-04-30,90.85,-0.9,-0.98,286519,25891242,綠增,否,否,91.69,92.3,93.22,93.84,-1.3025,-1.3152,-0.6554
00641R,富邦日本反1,2026-04-30,4.09,0.02,0.49,1442235,5904028,紅增,否,是,4.07,4.05,4.03,4.02,0.8933,0.6965,0.3487
00642U,期元大S&P石油,2026-04-30,33.15,3.01,9.99,22455412,736149703,紅增,是,是,30.12,28.52,27.79,27.3,11.8464,5.6838,2.8387
00643,群益深証中小,2026-04-30,19.71,0.18,0.92,2836116,55794725,紅增,否,是,19.49,19.34,19.16,19.04,1.6373,1.3418,0.6726
00645,富邦日本,2026-04-30,52.25,-0.25,-0.48,385821,20127726,綠增,否,否,52.52,52.71,53.01,53.2,-0.7371,-0.7344,-0.3665
00646,元大S&P500,2026-04-30,70.95,0.05,0.07,2997225,212828709,紅增,否,是,70.75,70.46,70.16,69.95,0.8266,0.6428,0.3218
