股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00400A,主動國泰動能高息,2026-06-18,15.12,0.25,1.68,43019553,648289555,綠縮,否,是,14.56,14.54,14.44,13.22,0.3445,-0.7171,2.165
00401A,主動摩根台灣鑫收,2026-06-18,13.99,0.17,1.23,4836099,67644156,綠縮,否,是,13.68,13.64,13.5,12.39,0.5588,0.0881,2.2382
00402A,主動安聯美國科技,2026-06-18,9.95,-0.02,-0.2,22102244,220128706,,否,,9.9,9.75,,,3.0391,,
00403A,主動統一升級50,2026-06-18,11.03,0.28,2.6,741910645,8112615400,綠轉紅,否,,10.54,10.43,10.5,,2.2102,-0.7234,1.5769
00404A,主動聯博動能50,2026-06-18,10.18,0.09,0.89,19928814,202188067,,否,,10.04,9.88,,,3.2504,0.2435,
00405A,主動富邦台灣龍耀,2026-06-18,9.64,0.25,2.66,126704707,1208251999,,否,,9.38,9.3,,,1.7578,-1.4731,
00406A,主動中信台灣收益,2026-06-18,10.29,0.16,1.58,37874323,388666292,,否,,10.09,9.96,,,2.6669,,
0050,元大台灣50,2026-06-18,107.3,1.3,1.23,78557448,8411642386,綠縮,否,是,104.2,103.94,102.4,93.35,0.5015,0.1301,2.3002
0051,元大中型100,2026-06-18,147.7,3.4,2.36,117696,17336791,綠縮,否,是,142.47,142.09,140.53,130.24,0.5292,0.1092,2.1813
0052,富邦科技,2026-06-18,62.8,0.65,1.05,25192808,1577644053,綠縮,否,是,60.91,60.77,60.12,54.96,0.4618,-0.2544,2.1408
0053,元大電子,2026-06-18,244.95,2.95,1.22,25594,6267321,綠縮,否,是,238.08,237.9,235.77,214.36,0.1514,-0.4832,2.0219
0055,元大MSCI金融,2026-06-18,43.46,0.8,1.88,1453055,62985629,紅增,否,是,41.5,40.3,37.55,34.84,6.1333,8.0899,5.4791
0056,元大高股息,2026-06-18,52.8,0.85,1.64,33652479,1772299362,綠縮,否,是,51.3,51.33,50.02,44.72,-0.109,0.6116,3.4356
0057,富邦摩台,2026-06-18,317.2,3.55,1.13,39622,12546863,綠縮,否,是,308.45,307.54,303.31,277.34,0.5935,0.1009,1.9581
0061,元大寶滬深,2026-06-18,25.5,0.22,0.87,575061,14635038,紅增,是,是,25.03,24.87,24.91,24.55,1.3277,-0.0402,-0.01
