股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
006201,元大富櫃50,2026-08-21,42.6,-0.52,-1.21,48808000,0,紅縮,否,否,43.95,41.23,42.58,45.96,14.0743,2.5721,-2.0676
00679B,元大美債20年,2026-08-21,25.84,,,14326536000,0,綠增,否,否,26.27,26.49,26.66,26.65,-1.6474,-1.1014,-0.8774
00687B,國泰20年美債,2026-08-21,27.19,-0.24,-0.87,21120709000,0,綠增,是,否,27.4,27.59,27.75,27.8,-1.4178,-0.9655,-0.8148
00687C,國泰20年美債+櫃U,2026-08-21,9.08,-0.09,-0.98,25000000,0,綠增,否,否,9.11,9.12,9.18,9.27,-0.3938,-0.5342,-0.9337
00694B,富邦美債1-3,2026-08-21,41.98,-0.01,-0.02,498821000,0,綠增,是,是,42.16,42.3,42.34,41.84,-0.6598,-0.2759,0.0319
00695B,富邦美債7-10,2026-08-21,34.91,-0.14,-0.4,209079000,0,綠增,否,否,35.14,35.27,35.41,35.19,-0.7625,-0.5021,-0.3364
00696B,富邦美債20年,2026-08-21,28.13,-0.28,-0.99,428133000,0,綠增,否,否,28.37,28.57,28.83,28.91,-1.4385,-1.0287,-1.1063
00697B,元大美債7-10,2026-08-21,35.46,-0.18,-0.51,532556000,0,綠增,是,否,35.71,35.83,35.87,35.65,-0.7063,-0.4086,-0.103
00719B,元大美債1-3,2026-08-21,31.23,-0.02,-0.06,982672000,0,綠增,否,是,31.36,31.43,31.46,31.1,-0.4318,-0.2919,0.07
00720B,元大投資級公司債,2026-08-21,31.84,-0.26,-0.81,2514502000,0,綠增,否,否,32.14,32.29,32.7,32.95,-0.9431,-1.2084,-1.2218
00722B,群益投資級電信債,2026-08-21,34.23,-0.25,-0.73,2351095000,0,綠增,否,否,34.48,34.66,35.13,35.7,-1.0447,-1.186,-1.4281
00723B,群益投資級科技債,2026-08-21,29.32,-0.32,-1.08,153200000,0,綠增,否,否,29.67,29.76,30.1,30.58,-0.6164,-0.7504,-1.3357
00724B,群益投資級金融債,2026-08-21,32.87,-0.24,-0.72,3433526000,0,綠增,否,否,33.18,33.33,33.6,33.71,-0.9376,-0.7149,-0.9404
00725B,國泰投資級公司債,2026-08-21,33.94,-0.27,-0.79,1635992000,0,綠增,否,否,34.27,34.42,34.77,35.03,-0.8218,-0.807,-1.115
00726B,國泰新興投等債,2026-08-21,32.39,-0.11,-0.34,137574000,0,綠縮,否,否,32.52,32.67,33.03,32.89,-0.8898,-1.3438,-0.6348
00727B,國泰優選非投等債,2026-08-21,39.38,-0.06,-0.15,204085000,0,綠增,是,否,39.57,39.65,39.82,39.56,-0.4178,-0.1913,-0.258
