股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00411A,主動統一前沿科技,2026-09-07,9.81,0.0,0.0,11371620000,0,,是,,9.66,9.68,9.74,,-0.474,0.1552,
006201,元大富櫃50,2026-09-07,45.41,1.23,2.78,137950000,0,紅增,否,,44.71,43.95,42.47,,3.5289,4.5311,0.6052
00679B,元大美債20年,2026-09-07,25.62,-0.16,-0.62,14028064000,0,綠縮,否,,25.68,25.86,26.27,,-1.3597,-1.6469,-1.0938
00687B,國泰20年美債,2026-09-07,26.97,-0.15,-0.55,9179290000,0,綠縮,否,,27.02,27.14,27.45,,-0.9314,-1.1039,-0.8058
00687C,國泰20年美債+櫃U,2026-09-07,9.09,0.0,0.0,25000000,0,紅增,否,,9.08,9.09,9.12,,-0.3294,-0.1537,-0.4041
00694B,富邦美債1-3,2026-09-07,41.56,-0.17,-0.41,117055000,0,綠增,否,,41.66,41.82,42.11,,-0.7717,-0.891,-0.4315
00695B,富邦美債7-10,2026-09-07,34.41,-0.21,-0.61,152198000,0,綠縮,否,,34.52,34.74,35.07,,-1.2642,-1.2057,-0.743
00696B,富邦美債20年,2026-09-07,27.94,-0.15,-0.53,1864014000,0,綠縮,否,,27.98,28.11,28.43,,-0.8997,-1.1014,-0.9926
00697B,元大美債7-10,2026-09-07,34.99,-0.18,-0.51,354741000,0,綠縮,否,,35.09,35.32,35.63,,-1.2606,-1.1587,-0.5638
00719B,元大美債1-3,2026-09-07,30.93,-0.11,-0.35,2678304000,0,綠縮,是,,30.99,31.12,31.29,,-0.8002,-0.8191,-0.4628
00720B,元大投資級公司債,2026-09-07,31.65,-0.17,-0.53,3398454000,0,綠縮,否,,31.74,31.85,32.16,,-0.6697,-0.9609,-1.1418
00722B,群益投資級電信債,2026-09-07,34.01,-0.2,-0.58,2679389000,0,綠縮,否,,34.1,34.21,34.56,,-0.612,-0.8578,-1.0947
00723B,群益投資級科技債,2026-09-07,29.12,-0.16,-0.55,270000000,0,綠縮,是,,29.21,29.32,29.61,,-0.7948,-1.0795,-1.0693
00724B,群益投資級金融債,2026-09-07,32.5,-0.2,-0.61,3719053000,0,綠縮,否,,32.61,32.79,33.15,,-1.1099,-1.2259,-0.9414
00725B,國泰投資級公司債,2026-09-07,33.7,-0.22,-0.65,2431200000,0,綠縮,否,,33.82,33.94,34.27,,-0.7164,-0.9948,-0.961
00726B,國泰新興投等債,2026-09-07,32.04,-0.1,-0.31,101444000,0,綠縮,否,,32.1,32.25,32.6,,-0.9136,-0.8089,-0.9661
