股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00400A,主動國泰動能高息,2026-05-12,14.14,0.0,0.0,65952293,939288033,紅縮,否,是,13.93,13.54,12.94,12.26,5.996,5.0442,4.0405
00401A,主動摩根台灣鑫收,2026-05-12,12.88,0.07,0.55,13633135,175914085,紅縮,否,是,12.72,12.45,12.03,11.59,4.315,3.9743,2.8775
00403A,主動統一升級50,2026-05-12,10.8,0.6,5.88,4204257454,45143802166,,,,,,,,,,
0050,元大台灣50,2026-05-12,96.85,-0.05,-0.05,102303450,9876959425,紅縮,否,是,96.84,94.52,90.79,86.36,5.0439,4.0227,3.6209
0051,元大中型100,2026-05-12,134.6,-0.65,-0.48,101481,13703417,紅增,否,是,132.61,129.99,126.59,123.06,4.114,3.3553,2.2847
0052,富邦科技,2026-05-12,56.9,-0.05,-0.09,42873369,2438160858,紅縮,否,是,56.92,55.38,53.25,51.12,5.7403,4.2647,3.3329
0053,元大電子,2026-05-12,224.9,0.65,0.29,55606,12412926,紅縮,是,是,223.28,217.68,208.58,197.43,5.286,4.2854,3.9147
0055,元大MSCI金融,2026-05-12,33.45,-0.55,-1.62,511966,17246086,紅縮,否,是,33.98,33.64,33.48,33.45,2.0724,1.173,0.4154
0056,元大高股息,2026-05-12,45.58,-0.18,-0.39,71013037,3241492607,紅增,否,是,44.95,43.2,42.23,41.4,8.4431,4.4862,2.4092
0057,富邦摩台,2026-05-12,288.85,0.5,0.17,49355,14227722,紅縮,是,是,288.26,281.45,270.14,256.51,4.9554,4.0576,3.7005
0061,元大寶滬深,2026-05-12,25.3,0.13,0.52,323923,8191351,紅增,否,是,25.03,24.74,24.45,24.16,2.3553,1.6556,1.0458
006203,元大MSCI台灣,2026-05-12,177.45,0.7,0.4,14423,2546624,紅縮,否,是,176.69,172.51,165.85,157.75,4.9602,3.9153,3.5898
006204,永豐臺灣加權,2026-05-12,210.35,0.85,0.41,5595,1170394,紅縮,否,是,208.04,203.46,197.2,190.4,4.6058,3.5842,2.7404
006205,富邦上証,2026-05-12,42.15,0.33,0.79,519826,21889891,紅增,否,是,41.63,41.22,40.69,40.29,2.0241,1.7627,0.9576
006206,元大上證50,2026-05-12,38.26,0.44,1.16,266462,10172975,紅增,是,是,37.87,37.6,37.15,36.8,1.4141,1.5831,0.8388
006207,復華滬深,2026-05-12,33.95,0.21,0.62,211747,7174654,紅增,否,是,33.53,33.22,32.85,32.52,1.9332,1.5128,0.9016
006208,富邦台50,2026-05-12,224.55,0.1,0.04,6516614,1457411635,紅縮,否,是,224.42,219.08,210.43,200.04,4.9918,4.0117,3.641
00625K,富邦上証+R,2026-05-12,9.07,0.05,0.55,16000,145000,,否,,8.92,,,,,,
00631L,元大台灣50正2,2026-05-12,32.52,-0.14,-0.43,170404512,5545164826,紅縮,否,是,32.52,31.07,29.07,26.75,9.7759,7.4709,6.3379
00632R,元大台灣50反1,2026-05-12,11.21,0.05,0.45,92874026,1039119629,綠縮,否,否,11.19,11.48,11.91,12.45,-4.8129,-3.7003,-3.0828
00633L,富邦上証正2,2026-05-12,54.3,1.2,2.26,4222440,228557091,紅增,否,是,53.13,52.47,51.73,50.91,2.5478,1.7255,1.2874
00634R,富邦上証反1,2026-05-12,3.01,-0.03,-0.99,257000,773380,綠增,否,否,3.04,3.07,3.1,3.13,-1.6796,-1.0316,-0.7694
00635U,期元大S&P黃金,2026-05-12,49.45,0.53,1.08,4844001,240275637,紅增,否,否,49.16,48.56,49.22,50.07,2.4976,-0.1952,-0.674
00636,國泰中國A50,2026-05-12,29.03,0.36,1.26,1221849,35413358,紅增,是,是,28.68,28.52,28.32,28.15,1.1353,0.9592,0.545
00636K,國泰中國A50+U,2026-05-12,9.13,0.04,0.44,500,4565,紅增,否,是,9.1,9.05,8.99,8.89,0.9991,0.712,0.6948
00637L,元大滬深300正2,2026-05-12,22.36,0.46,2.1,26480721,590166430,紅增,否,是,21.9,21.64,21.34,21.01,2.4226,1.7299,1.2576
00638R,元大滬深300反1,2026-05-12,6.43,-0.1,-1.53,3793700,24396617,綠增,是,否,6.51,6.58,6.63,6.7,-1.8385,-1.0981,-0.8078
00639,富邦深100,2026-05-12,17.95,0.07,0.39,1360573,24388241,紅增,是,是,17.67,17.46,17.22,16.99,2.4588,1.8318,1.1576
00640L,富邦日本正2,2026-05-12,98.5,1.95,2.02,717312,70415376,紅增,是,是,96.56,93.68,93.28,93.86,6.3319,2.6741,0.6501
00641R,富邦日本反1,2026-05-12,3.92,-0.04,-1.01,5688975,22280012,綠增,是,否,3.96,4.02,4.03,4.02,-3.0837,-1.2033,-0.3093
00642U,期元大S&P石油,2026-05-12,30.02,-0.22,-0.73,5315703,159776175,綠增,否,是,29.73,30.72,29.16,27.75,-6.2374,2.0732,2.355
00643,群益深証中小,2026-05-12,20.53,-0.1,-0.48,4272696,87377765,紅縮,是,是,20.34,20.05,19.63,19.2,2.9763,2.4684,1.768
00643K,群益深証中小+R,2026-05-12,4.43,,,1000,4430,,,,,,,,,,
00645,富邦日本,2026-05-12,54.55,0.55,1.02,438644,23846811,紅增,否,是,53.96,53.1,53.0,53.2,3.2727,1.3454,0.3123
00646,元大S&P500,2026-05-12,73.05,0.25,0.34,1742997,127350374,紅縮,否,是,72.74,72.02,71.13,70.28,2.0196,1.5797,1.0261
00647L,元大S&P500正2,2026-05-12,131.2,0.7,0.54,67753,8888011,紅增,否,是,129.7,126.89,124.17,121.22,4.5378,2.9576,2.0443
00648R,元大S&P500反1,2026-05-12,4.05,0.0,0.0,385800,1561380,綠縮,否,否,4.07,4.12,4.17,4.23,-2.5862,-1.4111,-1.1389
00650L,復華香港正2,2026-05-12,18.2,0.24,1.34,4580796,83552357,紅增,否,是,18.05,17.78,17.72,17.69,3.1068,1.7219,0.5306
00651R,復華香港反1,2026-05-12,5.05,-0.05,-0.98,7507,37968,綠增,否,否,5.09,5.15,5.16,5.17,-2.3041,-1.1331,-0.4435
00652,富邦印度,2026-05-12,32.17,-0.53,-1.62,973374,31488364,綠增,是,否,32.84,32.92,33.31,33.81,-0.5029,-0.6877,-0.9059
00653L,富邦印度正2,2026-05-12,44.9,-1.12,-2.43,1267846,57322343,綠增,是,否,46.58,46.63,47.16,47.55,-0.1928,-0.7767,-0.6091
00654R,富邦印度反1,2026-05-12,6.9,0.06,0.88,140426,969901,紅增,是,是,6.77,6.78,6.75,6.72,-0.2947,0.1182,0.2079
00655L,國泰中國A50正2,2026-05-12,37.8,0.8,2.16,1923254,72461922,紅增,否,是,37.01,36.57,36.07,35.49,2.4469,1.6624,1.2719
00656R,國泰中國A50反1,2026-05-12,5.7,-0.05,-0.87,296570,1691541,綠增,否,否,5.75,5.8,5.85,5.91,-1.6074,-0.9392,-0.789
00657,國泰日經225,2026-05-12,74.0,0.2,0.27,27942,2064833,紅縮,否,是,73.67,71.77,70.7,69.67,5.4538,2.6534,1.6244
00657K,國泰日經225+U,2026-05-12,23.61,0.02,0.08,200,4722,紅增,否,是,23.31,22.72,22.46,22.17,5.3517,2.2414,1.4546
00660,元大歐洲50,2026-05-12,42.59,-0.32,-0.75,29865,1272480,紅縮,否,否,43.06,42.69,42.84,43.01,1.7342,0.4069,-0.0233
00661,元大日經225,2026-05-12,81.0,0.2,0.25,290619,23540233,紅縮,是,是,80.68,78.67,77.64,76.55,5.2302,2.3481,1.53
00662,富邦NASDAQ,2026-05-12,118.05,0.1,0.08,5046905,596101871,紅增,否,是,116.29,113.81,111.01,108.2,4.4552,3.1776,2.1839
00663L,國泰臺灣加權正2,2026-05-12,93.15,-0.6,-0.64,8489435,793228713,紅縮,否,是,93.21,89.09,83.33,76.64,9.6846,7.4275,6.3527
00664R,國泰臺灣加權反1,2026-05-12,1.82,0.02,1.11,17930277,32370667,綠縮,否,否,1.81,1.86,1.93,2.02,-4.837,-3.6845,-3.1415
00665L,富邦恒生國企正2,2026-05-12,10.37,0.12,1.17,13707248,142780823,紅增,否,是,10.28,10.13,10.12,10.13,3.0273,1.4425,0.3421
