股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
006201,元大富櫃50,2026-06-15,47.75,0.65,1.38,173601000,0,綠縮,否,是,46.58,47.79,47.66,42.33,-4.9467,-2.9467,-0.7652
00679B,元大美債20年,2026-06-15,26.81,0.05,0.19,22042105000,0,紅增,否,否,26.6,26.54,26.38,26.82,0.4683,0.5646,0.0171
00687B,國泰20年美債,2026-06-15,28.15,0.05,0.18,18357982000,0,紅增,否,是,27.94,27.88,27.65,27.95,0.4242,0.5882,0.2774
00687C,國泰20年美債+櫃U,2026-06-15,9.42,0.04,0.43,25000000,0,紅增,否,是,9.32,9.33,9.25,9.32,-0.2141,0.2687,0.1298
00694B,富邦美債1-3,2026-06-15,41.57,-0.13,-0.31,78689000,0,紅縮,否,否,41.63,41.55,41.51,41.71,0.3955,0.2994,0.1303
00695B,富邦美債7-10,2026-06-15,35.11,-0.06,-0.17,136714000,0,紅增,否,否,35.02,34.99,34.9,35.3,0.2175,0.2407,0.0344
00696B,富邦美債20年,2026-06-15,29.22,0.05,0.17,900109000,0,紅增,否,是,29.0,28.94,28.7,29.1,0.4016,0.5874,0.2812
00697B,元大美債7-10,2026-06-15,35.63,-0.04,-0.11,557610000,0,紅增,否,否,35.55,35.5,35.43,35.75,0.3047,0.2089,0.0296
00719B,元大美債1-3,2026-06-15,30.92,-0.06,-0.19,2668755000,0,紅縮,否,否,30.93,30.88,30.85,31.06,0.3699,0.263,0.0925
00720B,元大投資級公司債,2026-06-15,33.51,0.1,0.3,10126233000,0,紅增,否,是,33.22,33.16,32.92,33.08,0.3322,0.5122,0.3659
00722B,群益投資級電信債,2026-06-15,36.42,0.12,0.33,3326053000,0,紅增,否,是,36.09,36.09,35.86,36.11,-0.0388,0.3196,0.2881
00723B,群益投資級科技債,2026-06-15,31.17,0.06,0.19,142009000,0,紅增,否,是,30.92,30.96,30.72,30.86,-0.2001,0.3827,0.3151
00724B,群益投資級金融債,2026-06-15,34.03,0.07,0.21,3710599000,0,紅增,否,是,33.78,33.74,33.57,33.77,0.2077,0.345,0.182
00725B,國泰投資級公司債,2026-06-15,35.59,0.11,0.31,4392213000,0,紅增,否,是,35.29,35.25,35.0,35.13,0.2045,0.4817,0.334
00726B,國泰新興投等債,2026-06-15,32.94,0.06,0.18,282988000,0,紅增,否,否,32.8,32.79,32.63,32.94,0.0854,0.4319,0.0936
00727B,國泰優選非投等債,2026-06-15,39.57,-0.05,-0.13,112303000,0,紅縮,否,是,39.55,39.44,39.34,39.56,0.5389,0.4508,0.2574
00734B,台新JPM新興債,2026-06-15,15.86,0.02,0.13,35000000,0,紅增,否,是,15.79,15.74,15.65,15.76,0.5606,0.7875,0.0863
00740B,富邦全球投等債,2026-06-15,39.06,0.1,0.26,4107011000,0,紅增,否,是,38.77,38.75,38.5,38.65,0.1136,0.4381,0.1548
00741B,富邦全球非投等債,2026-06-15,37.28,-0.05,-0.13,136027000,0,紅增,否,否,37.23,37.15,37.13,37.39,0.4262,0.2753,-0.0175
00746B,富邦A級公司債,2026-06-15,35.81,0.06,0.17,434113000,0,紅增,否,是,35.56,35.53,35.33,35.61,0.1916,0.3673,0.1829
00749B,凱基新興債10+,2026-06-15,31.98,0.14,0.44,106008000,0,紅增,否,是,31.71,31.69,31.45,31.67,0.0884,0.5871,0.1528
00750B,凱基科技債10+,2026-06-15,33.46,0.06,0.18,100008000,0,紅增,否,是,33.2,33.21,32.98,33.14,-0.0843,0.3535,0.3011
00751B,元大AAA至A公司債,2026-06-15,32.17,0.1,0.31,5860842000,0,紅增,否,是,31.89,31.86,31.64,31.75,0.1822,0.4223,0.3139
00754B,群益AAA-AA公司債,2026-06-15,33.76,0.13,0.39,105116000,0,紅增,否,是,33.44,33.48,33.27,33.68,-0.185,0.2636,0.0195
00755B,群益投資級公用債,2026-06-15,32.98,0.0,0.0,115896000,0,紅增,否,是,32.71,32.69,32.51,32.85,0.1102,0.3468,-0.0692
00756B,群益投等新興公債,2026-06-15,31.75,0.14,0.44,260461000,0,紅增,否,是,31.44,31.39,31.08,31.46,0.3063,0.8869,-0.1013
00758B,復華能源債,2026-06-15,52.1,0.35,0.68,100000000,0,紅增,否,是,51.61,51.55,51.29,51.58,0.2331,0.4188,-0.0049
00759B,復華製藥債,2026-06-15,55.05,0.25,0.46,100097000,0,紅增,否,是,54.57,54.48,54.16,54.61,0.3125,0.498,0.0369
00760B,復華新興企業債,2026-06-15,53.95,0.2,0.37,107052000,0,紅增,否,是,53.54,53.52,53.25,53.73,0.0748,0.5543,-0.2248
00761B,國泰A級公司債,2026-06-15,34.74,0.08,0.23,332579000,0,紅增,否,是,34.47,34.45,34.24,34.59,0.1104,0.4051,-0.0146
00764B,群益25年美債,2026-06-15,28.1,0.05,0.18,6425883000,0,紅增,否,是,27.89,27.84,27.63,27.93,0.367,0.5743,0.2522
00768B,復華20年美債,2026-06-15,50.25,0.1,0.2,829645000,0,紅增,是,否,49.86,49.79,49.48,50.54,0.2695,0.5127,-0.2087
00772B,中信高評級公司債,2026-06-15,34.0,0.1,0.29,3084122000,0,紅增,否,是,33.73,33.71,33.51,33.74,0.1247,0.3722,0.1345
00773B,中信優先金融債,2026-06-15,36.16,0.1,0.28,1309593000,0,紅增,否,是,35.89,35.85,35.67,35.84,0.2402,0.3527,0.0898
00777B,凱基AAA至A公司債,2026-06-15,32.99,0.06,0.18,100213000,0,紅增,否,是,32.71,32.7,32.48,32.7,0.0734,0.393,0.1835
00778B,凱基金融債20+,2026-06-15,34.88,0.09,0.26,122007000,0,紅增,否,是,34.58,34.55,34.33,34.44,0.2144,0.4156,0.1678
00779B,凱基美債25+,2026-06-15,28.48,0.05,0.18,304413000,0,紅增,否,是,28.27,28.21,27.99,28.3,0.3835,0.5453,0.2597
00780B,國泰A級金融債,2026-06-15,37.2,0.05,0.13,197425000,0,紅增,否,否,37.02,36.98,36.9,37.39,0.222,0.2304,-0.246
00781B,國泰A級科技債,2026-06-15,29.03,0.06,0.21,269378000,0,紅增,是,是,28.82,28.83,28.63,28.71,-0.0347,0.3795,0.3506
00782B,國泰A級公用債,2026-06-15,30.76,0.08,0.26,210127000,0,紅增,否,是,30.53,30.48,30.29,30.55,0.3089,0.4284,0.2964
00785B,富邦金融投等債,2026-06-15,35.24,0.06,0.17,57434000,0,紅增,否,是,35.01,34.97,34.79,34.98,0.2405,0.3415,0.2059
00786B,元大10年IG銀行債,2026-06-15,32.84,-0.01,-0.03,25369000,0,紅增,否,是,32.67,32.62,32.49,32.69,0.3132,0.4589,-0.0477
00787B,元大10年IG醫療債,2026-06-15,33.07,0.08,0.24,51008000,0,紅增,是,是,32.8,32.76,32.51,32.62,0.2507,0.5927,0.2838
00788B,元大10年IG電能債,2026-06-15,30.31,0.11,0.36,26070000,0,紅增,否,是,30.06,30.02,29.81,30.0,0.307,0.482,0.3502
00789B,復華公司債A3,2026-06-15,48.94,0.18,0.37,102063000,0,紅增,否,是,48.51,48.51,48.15,48.51,0.0124,0.4119,0.3209
00791B,復華信用債1-5,2026-06-15,56.55,-0.2,-0.35,100035000,0,紅縮,否,否,56.62,56.5,56.4,56.74,0.4079,0.373,0.142
00792B,群益A級公司債,2026-06-15,32.28,0.06,0.19,180066000,0,紅增,否,是,32.04,32.01,31.78,31.8,0.1814,0.4551,0.322
00793B,群益AAA-A醫療債,2026-06-15,31.24,0.18,0.58,111043000,0,紅增,否,是,31.01,30.98,30.75,30.82,0.2262,0.4899,0.3377
00795B,中信美國公債20年,2026-06-15,26.97,0.05,0.19,6950533000,0,紅增,否,否,26.77,26.72,26.53,27.03,0.3824,0.5493,-0.064
00799B,國泰A級醫療債,2026-06-15,29.86,0.07,0.23,149753000,0,紅增,否,是,29.63,29.59,29.39,29.77,0.2708,0.5164,-0.0782
00834B,第一金金融債10+,2026-06-15,34.42,0.0,0.0,100000000,0,紅增,否,是,34.25,34.19,33.99,34.17,0.3575,0.4319,0.2477
00836B,永豐10年A公司債,2026-06-15,29.32,0.08,0.27,1581000,0,紅增,否,是,29.07,29.06,28.83,28.89,0.0895,0.5989,0.2748
00840B,凱基IG精選15+,2026-06-15,30.38,0.1,0.33,100000000,0,紅增,否,是,30.13,30.11,29.9,30.06,0.0864,0.4202,0.2347
00841B,凱基AAA-AA公司債,2026-06-15,29.2,0.0,0.0,100000000,0,紅增,否,是,29.0,29.0,28.81,29.16,0.0138,0.3808,0.0365
00842B,台新美元銀行債,2026-06-15,30.69,0.11,0.36,119953000,0,紅增,否,是,30.48,30.46,30.3,30.68,0.1643,0.4055,0.0875
00844B,新光15年IG金融債,2026-06-15,31.9,0.05,0.16,130027000,0,紅增,否,是,31.64,31.58,31.39,31.64,0.368,0.3942,-0.0462
00845B,富邦新興投等債,2026-06-15,33.21,0.01,0.03,103008000,0,紅增,否,否,33.13,33.1,32.99,33.32,0.1936,0.3791,-0.2057
00846B,富邦歐洲銀行債,2026-06-15,35.88,0.03,0.08,104087000,0,紅增,否,否,35.75,35.68,35.61,35.99,0.4157,0.3177,-0.1878
00847B,中信美國市政債,2026-06-15,25.57,0.04,0.16,213000000,0,紅增,否,否,25.44,25.39,25.28,25.72,0.3788,0.4431,-0.1757
00848B,中信新興亞洲債,2026-06-15,34.31,0.13,0.38,200760000,0,紅增,否,否,34.14,34.15,34.03,34.33,-0.0585,0.1907,-0.0235
00849B,中信EM主權債0-5,2026-06-15,37.22,-0.1,-0.27,207457000,0,紅縮,否,否,37.28,37.2,37.13,37.29,0.4689,0.4022,0.1416
00853B,統一美債10年Aa-A,2026-06-15,28.16,0.08,0.28,1159919000,0,紅增,否,是,27.93,27.9,27.71,27.78,0.2368,0.4392,0.3004
00856B,永豐1-3年美公債,2026-06-15,37.65,-0.1,-0.26,8168000,0,紅增,否,否,37.6,37.5,37.5,37.67,0.5294,0.254,0.0721
00857B,永豐20年美公債,2026-06-15,23.41,0.03,0.13,1447100000,0,紅增,否,是,23.25,23.21,23.03,23.28,0.3712,0.5415,0.2678
00858,永豐美國500大,2026-06-15,36.06,0.41,1.15,474180000,0,綠縮,否,是,35.5,35.72,35.71,34.08,-1.2076,-0.5568,-0.1035
00859B,群益0-1年美債,2026-06-15,41.06,-0.11,-0.27,3888534000,0,紅縮,否,是,41.13,41.03,41.0,41.03,0.5033,0.3571,0.1588
00860B,群益1-5Y投資級債,2026-06-15,37.89,-0.1,-0.26,106102000,0,紅縮,否,否,37.93,37.82,37.78,38.1,0.5514,0.3902,-0.0754
