股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
006201,元大富櫃50,2026-07-17,41.3,-3.26,-7.32,270883000,0,綠增,否,否,45.0,46.33,46.99,46.07,-5.5896,-3.1403,-1.3498
00679B,元大美債20年,2026-07-17,26.95,0.13,0.48,43345183000,0,綠縮,是,是,26.8,26.96,26.97,26.74,-1.2091,-0.7691,0.3069
00687B,國泰20年美債,2026-07-17,28.03,0.14,0.5,34727772000,0,綠縮,否,是,27.87,28.05,28.09,27.88,-1.2752,-0.7922,0.0605
00687C,國泰20年美債+櫃U,2026-07-17,9.24,-0.01,-0.11,25000000,0,綠縮,否,否,9.23,9.33,9.38,9.33,-1.9958,-1.4061,-0.2075
00694B,富邦美債1-3,2026-07-17,42.37,0.19,0.45,464071000,0,紅縮,是,是,42.36,42.26,42.01,41.68,0.4601,0.5759,0.4964
00695B,富邦美債7-10,2026-07-17,35.59,0.22,0.62,1533923000,0,紅縮,是,是,35.56,35.59,35.44,35.2,-0.1796,0.166,0.4578
00696B,富邦美債20年,2026-07-17,29.07,0.14,0.48,3333104000,0,綠增,否,是,29.13,29.35,29.38,29.03,-1.4948,-0.9283,0.2235
00697B,元大美債7-10,2026-07-17,36.04,0.1,0.28,639868000,0,紅增,否,是,35.83,35.85,35.75,35.65,-0.0892,0.218,0.2748
00719B,元大美債1-3,2026-07-17,31.68,0.08,0.25,4466463000,0,紅增,否,是,31.5,31.41,31.22,31.01,0.5747,0.6537,0.5184
00720B,元大投資級公司債,2026-07-17,33.33,0.07,0.21,14822755000,0,綠縮,是,是,33.22,33.47,33.5,33.13,-1.5005,-0.6972,0.1076
00722B,群益投資級電信債,2026-07-17,35.45,0.13,0.37,2391506000,0,綠增,否,否,35.72,36.08,36.24,36.01,-1.9597,-1.1751,-0.1873
00723B,群益投資級科技債,2026-07-17,30.34,0.16,0.53,166964000,0,綠增,否,否,30.57,30.92,31.05,30.83,-2.2195,-1.1951,-0.2426
00724B,群益投資級金融債,2026-07-17,33.69,0.11,0.33,2409158000,0,綠增,否,否,33.93,34.18,34.16,33.81,-1.4292,-0.6106,0.2039
00725B,國泰投資級公司債,2026-07-17,34.95,0.09,0.26,6690238000,0,綠增,否,否,35.23,35.52,35.56,35.18,-1.6307,-0.7461,0.0506
00726B,國泰新興投等債,2026-07-17,33.43,0.07,0.21,242779000,0,綠縮,否,是,33.34,33.37,33.22,32.98,-0.1378,0.1411,0.4566
00727B,國泰優選非投等債,2026-07-17,39.71,0.16,0.4,128300000,0,紅轉綠,否,是,40.16,40.1,39.9,39.52,0.2947,0.4484,0.4734
00740B,富邦全球投等債,2026-07-17,38.61,0.11,0.29,2900321000,0,綠縮,是,否,38.62,38.89,38.93,38.69,-1.3841,-0.6235,-0.0244
00741B,富邦全球非投等債,2026-07-17,37.79,0.09,0.24,396133000,0,紅縮,是,是,37.74,37.65,37.45,37.33,0.4792,0.6254,0.4156
00746B,富邦A級公司債,2026-07-17,35.49,0.12,0.34,1215363000,0,綠增,否,否,35.64,35.9,35.89,35.59,-1.4162,-0.5816,0.1479
00749B,凱基新興債10+,2026-07-17,31.75,0.09,0.28,100000000,0,綠增,否,否,31.99,32.14,32.09,31.76,-0.9537,-0.372,0.2656
00750B,凱基科技債10+,2026-07-17,32.85,0.12,0.37,108000000,0,綠增,否,否,33.0,33.33,33.4,33.14,-1.996,-0.9509,-0.0972
00751B,元大AAA至A公司債,2026-07-17,31.44,0.06,0.19,8251089000,0,綠縮,否,否,31.35,31.63,31.8,31.71,-1.7489,-0.9024,-0.34
00754B,群益AAA-AA公司債,2026-07-17,33.24,0.16,0.48,87000000,0,綠縮,否,否,33.03,33.44,33.57,33.55,-2.376,-1.2055,-0.2718
00755B,群益投資級公用債,2026-07-17,33.1,0.09,0.27,165905000,0,綠縮,是,是,32.93,33.17,33.13,32.88,-1.4131,-0.5696,0.2527
00756B,群益投等新興公債,2026-07-17,31.79,-0.05,-0.16,139853000,0,綠增,否,是,31.81,31.96,31.89,31.6,-0.9343,-0.2995,0.3761
00758B,復華能源債,2026-07-17,52.05,0.4,0.77,100000000,0,綠縮,否,是,51.75,52.02,52.03,51.69,-1.0516,-0.5258,0.1492
00759B,復華製藥債,2026-07-17,55.05,0.25,0.46,100000000,0,綠縮,否,是,54.86,55.23,55.21,54.72,-1.3487,-0.6207,0.2224
00760B,復華新興企業債,2026-07-17,54.4,0.15,0.28,104622000,0,綠縮,否,是,54.3,54.42,54.27,53.93,-0.44,-0.1468,0.3977
00761B,國泰A級公司債,2026-07-17,34.61,0.11,0.32,926391000,0,綠縮,是,是,34.44,34.71,34.75,34.57,-1.5212,-0.7436,0.059
00764B,群益25年美債,2026-07-17,27.97,0.12,0.43,3282559000,0,綠縮,否,是,27.8,27.98,28.02,27.84,-1.2151,-0.731,0.0268
00768B,復華20年美債,2026-07-17,50.5,0.2,0.4,479350000,0,綠縮,否,是,50.24,50.59,50.58,50.31,-1.3548,-0.804,0.2865
00772B,中信高評級公司債,2026-07-17,33.63,0.06,0.18,5276246000,0,綠縮,是,否,33.6,33.85,33.89,33.72,-1.4489,-0.6749,-0.0162
00773B,中信優先金融債,2026-07-17,35.98,0.12,0.33,2009607000,0,綠縮,是,是,35.94,36.17,36.16,35.9,-1.28,-0.5225,0.1301
00777B,凱基AAA至A公司債,2026-07-17,32.47,0.07,0.22,102000000,0,綠縮,否,否,32.46,32.77,32.85,32.67,-1.8684,-0.9252,-0.114
00778B,凱基金融債20+,2026-07-17,34.43,0.15,0.44,100000000,0,綠縮,否,否,34.4,34.73,34.81,34.52,-1.9049,-0.992,-0.0345
