股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00400A,主動國泰動能高息,2026-05-27,14.92,0.27,1.84,57963726,870883340,紅增,否,是,14.35,13.72,13.69,12.59,9.6395,1.449,3.1958
00401A,主動摩根台灣鑫收,2026-05-27,13.76,0.18,1.33,12437745,172502824,紅增,否,是,13.38,12.87,12.71,11.86,8.2161,2.4918,3.2494
00403A,主動統一升級50,2026-05-27,10.78,0.14,1.32,741587390,8063340717,,否,,10.47,10.18,,,5.8431,,
0050,元大台灣50,2026-05-27,102.55,2.45,2.45,94959812,9787482181,紅增,否,是,99.81,97.1,96.04,88.71,5.7421,1.5797,2.5081
0051,元大中型100,2026-05-27,141.1,0.8,0.57,156068,22153101,紅增,否,是,138.36,133.86,132.34,125.36,6.9573,1.8954,2.7326
0052,富邦科技,2026-05-27,60.45,1.2,2.03,30613105,1859516061,紅增,否,是,58.91,57.22,56.45,52.41,6.0868,1.7606,2.7109
0053,元大電子,2026-05-27,238.8,3.85,1.64,32386,7790807,紅增,否,是,232.21,224.88,221.98,203.42,6.7338,1.9471,2.8876
0055,元大MSCI金融,2026-05-27,34.89,0.59,1.72,467778,16242828,紅增,否,是,34.32,34.03,33.85,33.55,1.7369,0.5347,0.8191
0056,元大高股息,2026-05-27,49.64,1.32,2.73,61667753,3060150666,紅增,否,是,47.88,46.16,44.89,42.33,7.774,2.9807,4.0419
0057,富邦摩台,2026-05-27,304.2,5.3,1.77,10399,3174296,紅增,否,是,296.25,288.83,286.33,263.76,5.2697,1.0743,2.4638
0061,元大寶滬深,2026-05-27,25.05,0.09,0.36,396438,9938504,綠縮,否,是,24.92,24.92,24.89,24.34,0.0241,-0.4077,0.7081
006203,元大MSCI台灣,2026-05-27,186.45,3.7,2.02,13081,2442332,紅增,否,是,181.83,176.72,175.02,161.93,5.9615,1.4583,2.4137
