股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00411A,主動統一前沿科技,2026-09-02,9.5,-0.19,-1.96,20006803000,0,,是,,9.69,9.64,,,1.1269,-0.9659,
006201,元大富櫃50,2026-09-02,45.09,-0.44,-0.97,181003000,0,紅增,否,,43.7,43.8,42.18,,-0.4874,6.1119,-1.6175
00679B,元大美債20年,2026-09-02,25.65,0.06,0.23,16581933000,0,綠縮,否,,25.76,26.1,26.44,,-2.5497,-1.795,-1.0644
00687B,國泰20年美債,2026-09-02,26.97,0.05,0.19,24357285000,0,綠縮,否,,27.1,27.3,27.58,,-1.4976,-1.2549,-0.802
00687C,國泰20年美債+櫃U,2026-09-02,9.05,-0.01,-0.11,25000000,0,綠增,否,,9.08,9.1,9.14,,-0.5479,-0.3613,-0.5928
00694B,富邦美債1-3,2026-09-02,41.72,0.14,0.34,604405000,0,綠縮,是,,41.82,42.02,42.22,,-0.9662,-0.7112,-0.3058
00695B,富邦美債7-10,2026-09-02,34.52,0.04,0.12,123517000,0,綠增,否,,34.72,34.98,35.23,,-1.4643,-0.9234,-0.6319
00696B,富邦美債20年,2026-09-02,27.92,0.05,0.18,5813386000,0,綠縮,是,,28.05,28.27,28.59,,-1.5445,-1.2885,-1.0847
00697B,元大美債7-10,2026-09-02,35.1,0.06,0.17,118144000,0,綠增,否,,35.29,35.55,35.76,,-1.4576,-0.8866,-0.3858
00719B,元大美債1-3,2026-09-02,31.02,0.07,0.23,1763769000,0,綠增,否,,31.12,31.26,31.39,,-0.9297,-0.5662,-0.2605
00720B,元大投資級公司債,2026-09-02,31.71,-0.02,-0.06,2902391000,0,綠縮,否,,31.8,32.05,32.39,,-1.5421,-0.9948,-1.2455
00722B,群益投資級電信債,2026-09-02,34.06,0.0,0.0,2608585000,0,綠縮,否,,34.16,34.4,34.77,,-1.3858,-1.013,-1.3618
00723B,群益投資級科技債,2026-09-02,29.18,0.0,0.0,143000000,0,綠縮,否,,29.24,29.54,29.78,,-2.0039,-0.909,-1.399
00724B,群益投資級金融債,2026-09-02,32.59,-0.01,-0.03,3689160000,0,綠縮,否,,32.76,33.04,33.32,,-1.7163,-1.063,-1.0865
00725B,國泰投資級公司債,2026-09-02,33.78,-0.02,-0.06,4827327000,0,綠縮,是,,33.88,34.16,34.45,,-1.6376,-0.9511,-1.1946
00726B,國泰新興投等債,2026-09-02,32.13,0.03,0.09,150701000,0,綠縮,否,,32.24,32.4,32.79,,-1.0193,-1.0746,-0.8751
00727B,國泰優選非投等債,2026-09-02,39.23,0.11,0.28,185594000,0,綠縮,否,,39.29,39.48,39.62,,-0.973,-0.4915,-0.6008
00734B,台新JPM新興債,2026-09-02,15.48,0.11,0.72,1000000,0,綠縮,否,,15.43,15.54,15.71,,-1.4308,-1.1825,-1.0079
00740B,富邦全球投等債,2026-09-02,37.13,-0.03,-0.08,442711000,0,綠縮,否,,37.24,37.61,37.95,,-1.9327,-1.1122,-1.0687
00741B,富邦全球非投等債,2026-09-02,37.1,0.03,0.08,107194000,0,綠縮,否,,37.2,37.48,37.68,,-1.4516,-0.9226,-0.3372
00746B,富邦A級公司債,2026-09-02,34.19,-0.05,-0.15,299132000,0,綠增,否,,34.38,34.68,34.99,,-1.732,-1.0611,-1.0743
00749B,凱基新興債10+,2026-09-02,30.7,0.04,0.13,120000000,0,綠縮,否,,30.75,30.99,31.28,,-1.5939,-0.9839,-1.1252
