股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00411A,主動統一前沿科技,2026-09-24,10.47,-0.03,-0.29,8329797000,0,紅增,否,,10.3,10.01,9.87,,5.9683,2.7515,1.8423
006201,元大富櫃50,2026-09-24,46.17,-0.11,-0.24,60809000,0,紅縮,否,,45.88,45.19,44.56,,3.1379,1.9379,3.9837
00679B,元大美債20年,2026-09-24,25.28,-0.4,-1.56,24110130000,0,紅縮,否,,25.55,25.49,25.71,,0.464,-0.3635,-1.0829
00687B,國泰20年美債,2026-09-24,26.28,-0.38,-1.43,25394651000,0,綠增,是,,26.55,26.62,26.91,,-0.5319,-0.9671,-1.1062
00687C,國泰20年美債+櫃U,2026-09-24,8.9,-0.17,-1.87,32100000,0,紅縮,否,,9.01,9.01,9.05,,0.0,-0.3759,-0.3413
00694B,富邦美債1-3,2026-09-24,41.64,0.09,0.22,835556000,0,綠縮,否,,41.61,41.57,41.73,,0.1975,-0.1537,-0.4912
00695B,富邦美債7-10,2026-09-24,33.94,-0.24,-0.7,391560000,0,綠增,否,,34.14,34.17,34.5,,-0.1871,-0.6917,-0.9204
00696B,富邦美債20年,2026-09-24,27.54,-0.43,-1.54,7006573000,0,紅縮,是,,27.84,27.78,27.96,,0.4474,-0.348,-0.807
00697B,元大美債7-10,2026-09-24,34.16,-0.28,-0.81,510951000,0,綠增,否,,34.51,34.64,35.02,,-0.7649,-0.9634,-1.0329
00719B,元大美債1-3,2026-09-24,30.95,0.06,0.19,3327817000,0,綠縮,否,,30.95,30.92,31.04,,0.2202,-0.1582,-0.4458
00720B,元大投資級公司債,2026-09-24,31.53,-0.44,-1.38,7997600000,0,紅縮,是,,31.83,31.66,31.78,,1.0476,0.0664,-0.4791
00722B,群益投資級電信債,2026-09-24,33.84,-0.47,-1.37,4210208000,0,紅縮,否,,34.17,34.01,34.13,,0.987,0.0294,-0.4622
00723B,群益投資級科技債,2026-09-24,29.0,-0.42,-1.43,135060000,0,紅縮,否,,29.31,29.18,29.28,,0.9089,0.1167,-0.491
00724B,群益投資級金融債,2026-09-24,32.22,-0.38,-1.17,4252242000,0,紅縮,否,,32.48,32.39,32.63,,0.5822,-0.3201,-0.7755
00725B,國泰投資級公司債,2026-09-24,33.59,-0.41,-1.21,3648205000,0,紅縮,是,,33.9,33.73,33.87,,0.9952,0.0386,-0.4892
00726B,國泰新興投等債,2026-09-24,31.72,-0.18,-0.56,567677000,0,紅縮,是,,31.84,31.83,32.07,,0.0377,-0.4939,-0.666
00727B,國泰優選非投等債,2026-09-24,39.09,-0.04,-0.1,277565000,0,紅增,是,,39.16,39.11,39.24,,0.2509,-0.1022,-0.3871
