股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00400A,主動國泰動能高息,2026-06-09,14.63,0.55,3.91,39839738,575784984,綠增,否,是,14.67,14.74,14.14,12.96,-0.9052,4.2442,1.5255
00401A,主動摩根台灣鑫收,2026-06-09,13.73,0.48,3.62,3589282,48654457,綠增,否,是,13.7,13.68,13.19,12.17,0.2195,3.6125,2.0312
00402A,主動安聯美國科技,2026-06-09,10.01,0.53,5.59,110315846,1103476387,,,,,,,,,,
00403A,主動統一升級50,2026-06-09,10.41,0.28,2.76,424730303,4380041766,綠增,否,,10.47,10.58,10.34,,-2.132,1.1859,0.5395
00404A,主動聯博動能50,2026-06-09,9.96,0.33,3.43,38457972,379320240,,,,,,,,,,
00405A,主動富邦台灣龍耀,2026-06-09,9.48,0.37,4.06,484277791,4538991176,,,,,,,,,,
0050,元大台灣50,2026-06-09,103.5,2.55,2.53,246039378,25054932573,紅轉綠,否,是,104.77,104.03,99.93,91.41,1.423,4.4476,2.1414
0051,元大中型100,2026-06-09,141.85,4.6,3.35,67340,9420404,紅轉綠,否,是,143.53,142.44,137.45,128.23,1.5495,3.7967,2.2369
0052,富邦科技,2026-06-09,60.15,1.3,2.21,20249672,1210563496,紅轉綠,否,是,61.52,61.15,58.79,53.92,1.2342,4.2096,2.128
0053,元大電子,2026-06-09,237.95,7.05,3.05,83600,19669450,綠增,是,是,240.93,240.21,230.98,209.92,0.6055,4.1946,2.1414
0055,元大MSCI金融,2026-06-09,40.3,2.15,5.64,1327094,52954215,紅增,否,是,38.51,36.81,35.29,34.07,9.6287,6.6051,3.3272
0056,元大高股息,2026-06-09,51.25,1.8,3.64,58646039,2968784035,紅縮,否,是,51.99,51.02,48.16,43.71,3.8927,6.6388,4.1231
0057,富邦摩台,2026-06-09,306.55,8.15,2.73,49977,15196040,紅轉綠,是,是,310.36,308.28,297.25,271.71,1.3586,4.309,2.0242
0061,元大寶滬深,2026-06-09,24.33,0.08,0.33,107798,2617361,綠增,否,否,24.91,24.96,24.97,24.46,-0.3919,0.237,0.018
006203,元大MSCI台灣,2026-06-09,188.15,4.8,2.62,12565,2344853,紅轉綠,否,是,190.2,188.88,181.73,166.7,1.413,4.2673,2.0181
006204,永豐臺灣加權,2026-06-09,223.65,6.95,3.21,22479,4929389,紅縮,否,是,226.22,224.32,215.78,199.61,1.7085,4.2985,2.3333
006205,富邦上証,2026-06-09,39.6,0.18,0.46,650674,25633071,綠增,否,否,40.41,40.66,41.04,40.57,-1.2221,-0.8437,-0.5898
