股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00400A,主動國泰動能高息,2026-05-19,12.7,-0.35,-2.68,45976795,590833935,綠增,否,是,13.34,13.63,13.26,12.38,-4.2498,0.724,2.4809
00401A,主動摩根台灣鑫收,2026-05-19,12.15,-0.2,-1.62,12454171,151930156,綠增,否,是,12.49,12.61,12.29,11.68,-1.7458,1.2206,2.1653
00403A,主動統一升級50,2026-05-19,9.72,-0.12,-1.22,984439002,9628425104,,否,,10.0,,,,,,
0050,元大台灣50,2026-05-19,93.1,-1.8,-1.9,135939820,12740872880,綠增,否,是,94.99,95.91,93.39,87.27,-1.9104,1.4812,2.861
0051,元大中型100,2026-05-19,127.75,-1.55,-1.2,87842,11329472,綠增,否,是,130.47,131.54,128.66,123.83,-1.6138,1.1924,1.6333
0052,富邦科技,2026-05-19,54.8,-1.05,-1.88,32719343,1805274171,綠增,否,是,55.87,56.4,54.75,51.6,-1.8447,1.842,2.8226
0053,元大電子,2026-05-19,212.25,-5.95,-2.73,17252,3714286,綠增,否,是,219.39,221.33,215.03,199.72,-1.7422,1.6814,3.0948
0055,元大MSCI金融,2026-05-19,33.91,0.42,1.25,304237,10363979,綠轉紅,否,是,33.69,33.84,33.54,33.47,-0.8533,0.5945,0.1912
0056,元大高股息,2026-05-19,44.01,-0.49,-1.1,55685573,2473462047,紅縮,否,是,44.65,44.8,43.08,41.7,-0.6718,3.701,1.9985
0057,富邦摩台,2026-05-19,276.95,-5.0,-1.77,18476,5168142,綠增,否,是,285.15,286.71,278.59,259.47,-1.0789,1.8653,3.127
0061,元大寶滬深,2026-05-19,24.65,-0.15,-0.6,145887,3597619,紅轉綠,否,是,25.04,25.04,24.69,24.25,0.0399,1.1841,0.994
006203,元大MSCI台灣,2026-05-19,168.7,-3.6,-2.09,91261,15547195,綠增,是,是,172.68,174.69,170.35,159.33,-2.2695,1.2579,2.7117
006204,永豐臺灣加權,2026-05-19,201.0,-2.8,-1.37,10745,2168818,綠增,否,是,204.89,206.47,201.44,191.89,-1.5141,1.4769,2.1488
006205,富邦上証,2026-05-19,40.92,0.02,0.05,636888,25989306,綠增,否,是,41.47,41.55,41.03,40.41,-0.3843,0.8078,0.8257
006206,元大上證50,2026-05-19,36.77,-0.15,-0.41,71892,2645743,綠增,否,否,37.44,37.65,37.34,36.87,-1.1197,0.1383,0.502
006207,復華滬深,2026-05-19,32.99,-0.15,-0.45,132102,4353960,紅轉綠,否,是,33.56,33.55,33.13,32.62,0.0835,0.9995,0.8753
006208,富邦台50,2026-05-19,215.65,-3.75,-1.71,4228697,917668832,綠增,否,是,219.83,222.12,216.38,202.12,-2.0453,1.3876,2.8288
00631L,元大台灣50正2,2026-05-19,29.93,-0.98,-3.17,218924740,6618386637,綠增,否,是,31.18,31.85,30.38,27.22,-4.1144,2.5071,4.5187
00632R,元大台灣50反1,2026-05-19,11.66,0.19,1.66,124759373,1447061008,紅增,否,否,11.44,11.32,11.62,12.34,2.2333,-1.3767,-2.4885
00633L,富邦上証正2,2026-05-19,50.9,-0.6,-1.17,1888404,96104707,綠增,否,否,52.72,52.92,52.25,51.09,-0.7717,0.8672,1.0101
00634R,富邦上証反1,2026-05-19,3.12,0.02,0.65,269000,836440,紅增,否,是,3.06,3.05,3.08,3.12,0.5913,-0.5537,-0.5815
00635U,期元大S&P黃金,2026-05-19,47.55,-0.07,-0.15,2163824,103172340,綠增,否,否,48.34,48.75,48.71,49.89,-1.676,0.3851,-1.0513
00636,國泰中國A50,2026-05-19,28.23,-0.13,-0.46,476149,13435951,紅轉綠,否,是,28.69,28.69,28.47,28.21,0.0349,0.582,0.5332
00636K,國泰中國A50+U,2026-05-19,8.98,-0.02,-0.22,200,1796,紅轉綠,否,是,9.12,9.1,9.04,8.91,0.4184,0.6748,0.7301
00637L,元大滬深300正2,2026-05-19,21.03,-0.26,-1.22,34636515,729614921,綠增,否,否,21.77,21.84,21.55,21.08,-0.5845,0.9011,1.0217
00638R,元大滬深300反1,2026-05-19,6.67,0.04,0.6,196450,1308351,紅增,否,否,6.54,6.53,6.59,6.68,0.4605,-0.6996,-0.6409
00639,富邦深100,2026-05-19,17.57,-0.14,-0.79,676505,11872531,紅縮,否,是,17.89,17.78,17.46,17.08,1.2791,1.8618,1.4289
00640L,富邦日本正2,2026-05-19,97.05,0.5,0.52,215759,20941690,紅縮,否,是,98.21,97.38,94.31,94.2,1.7088,3.9494,1.115
00641R,富邦日本反1,2026-05-19,3.95,0.0,0.0,2331076,9199789,綠縮,否,否,3.92,3.94,4.01,4.01,-0.9091,-2.0134,-0.5337
00642U,期元大S&P石油,2026-05-19,32.59,-0.03,-0.09,3868618,125529096,紅增,否,是,31.5,30.61,30.36,28.12,5.9259,-0.3515,4.0924
00643,群益深証中小,2026-05-19,20.12,-0.01,-0.05,2709558,54369921,紅轉綠,否,是,20.39,20.37,19.97,19.31,0.2163,1.5761,1.722
00645,富邦日本,2026-05-19,54.1,0.15,0.28,372331,20133247,紅縮,否,是,54.46,54.21,53.3,53.3,0.9266,2.0808,0.5707
00646,元大S&P500,2026-05-19,73.4,0.1,0.14,4691851,344882333,紅縮,是,是,73.6,73.17,72.03,70.59,1.1823,1.5968,1.2688
00647L,元大S&P500正2,2026-05-19,131.0,0.65,0.5,32688,4289008,紅縮,否,是,131.97,130.83,127.04,122.24,1.7502,3.1131,2.3114
00648R,元大S&P500反1,2026-05-19,4.06,-0.01,-0.25,861980,3496179,綠縮,否,否,4.04,4.05,4.12,4.21,-0.6883,-1.6497,-1.176
00650L,復華香港正2,2026-05-19,17.33,0.08,0.46,2708067,46980033,綠增,否,否,17.75,17.9,17.69,17.7,-1.706,0.6636,-0.1411
00651R,復華香港反1,2026-05-19,5.23,-0.01,-0.19,51359,268209,紅增,否,是,5.16,5.12,5.17,5.17,1.4544,-0.4468,0.0484
00652,富邦印度,2026-05-19,32.32,0.33,1.03,215123,6933004,綠縮,否,否,32.11,32.48,32.81,33.65,-2.2289,-1.3637,-1.4875
00653L,富邦印度正2,2026-05-19,45.46,1.01,2.27,243003,11006501,綠縮,否,否,44.87,45.73,46.36,47.31,-3.6837,-1.9366,-1.6995
00654R,富邦印度反1,2026-05-19,6.86,-0.1,-1.44,183845,1259635,紅縮,是,是,6.91,6.84,6.8,6.74,2.1283,0.915,0.8375
00655L,國泰中國A50正2,2026-05-19,35.47,-0.44,-1.23,1359898,48262473,綠增,否,否,36.74,36.88,36.42,35.62,-0.7241,0.8422,0.9856
00656R,國泰中國A50反1,2026-05-19,5.91,0.05,0.85,176000,1039500,紅增,否,是,5.8,5.78,5.82,5.9,0.7647,-0.431,-0.5302
00657,國泰日經225,2026-05-19,71.15,-0.55,-0.77,79470,5677230,紅轉綠,否,是,72.8,73.23,71.57,69.97,-1.1809,2.0484,1.2412
00657K,國泰日經225+U,2026-05-19,22.48,-0.15,-0.66,200,4496,紅縮,否,是,23.23,23.12,22.68,22.24,0.9123,2.3821,1.3338
00660,元大歐洲50,2026-05-19,42.55,0.51,1.21,45895,1953809,綠縮,是,否,42.49,42.78,42.65,42.96,-1.3191,0.1944,-0.4412
00661,元大日經225,2026-05-19,78.15,-0.75,-0.95,199322,15611749,紅轉綠,否,是,79.86,80.27,78.57,76.87,-1.0164,2.0273,1.1978
00662,富邦NASDAQ,2026-05-19,117.2,-0.6,-0.51,7645994,897270404,紅縮,否,是,118.32,117.3,113.8,109.16,1.7456,3.0709,2.5178
00663L,國泰臺灣加權正2,2026-05-19,85.95,-2.45,-2.77,9123742,791212544,綠增,否,是,89.44,91.33,87.13,77.99,-4.0446,2.5029,4.5602
00664R,國泰臺灣加權反1,2026-05-19,1.88,0.02,1.08,16655097,31248703,紅增,否,否,1.85,1.83,1.88,2.0,2.0994,-1.4547,-2.5428
00665L,富邦恒生國企正2,2026-05-19,9.78,0.03,0.31,9945484,97276833,綠增,否,否,10.05,10.16,10.07,10.13,-2.2378,0.3555,-0.4595
00666R,富邦恒生國企反1,2026-05-19,9.05,-0.03,-0.33,13330,120586,紅增,否,是,8.92,8.85,8.91,8.92,1.4104,-0.3489,0.1123
00668,國泰美國道瓊,2026-05-19,57.15,0.45,0.79,24114,1380093,紅縮,否,是,57.13,57.0,56.76,56.27,0.4572,0.5557,0.3891
00668K,國泰美國道瓊+U,2026-05-19,18.14,0.05,0.28,200,3628,紅縮,否,是,18.15,18.11,18.04,17.85,0.4095,0.5944,0.4762
00669R,國泰美國道瓊反1,2026-05-19,5.55,-0.05,-0.89,2144000,11904159,紅增,是,否,5.54,5.54,5.56,5.63,0.2533,-0.6105,-0.367
00670L,富邦NASDAQ正2,2026-05-19,200.0,-1.5,-0.74,1214544,243231168,紅縮,否,是,204.39,201.84,190.29,175.32,2.5591,6.1115,4.8532
00671R,富邦NASDAQ反1,2026-05-19,2.51,0.01,0.4,4867300,12169170,綠縮,否,否,2.48,2.5,2.58,2.69,-1.1155,-3.1056,-2.4229
00673R,期元大S&P原油反1,2026-05-19,11.28,0.01,0.09,15793074,178367259,綠增,否,否,11.68,12.01,12.23,13.36,-5.3485,-0.3071,-4.6459
00674R,期元大S&P黃金反1,2026-05-19,27.23,0.03,0.11,119828,3247617,,否,,26.8,26.56,26.61,,1.7928,-0.4907,
00675L,富邦臺灣加權正2,2026-05-19,259.7,-7.75,-2.9,2337236,613403075,綠增,否,是,270.56,276.39,263.77,235.98,-4.1315,2.4407,4.5358
00676R,富邦臺灣加權反1,2026-05-19,6.42,0.08,1.26,6850536,43760237,紅增,否,否,6.3,6.23,6.4,6.81,2.1408,-1.4859,-2.5563
00678,群益那斯達克生技,2026-05-19,34.74,-0.59,-1.67,399292,13835720,紅轉綠,否,否,35.76,35.77,35.67,36.25,-0.028,0.8857,-0.6213
00680L,元大美債20正2,2026-05-19,6.59,0.03,0.46,13454067,88667948,綠增,否,否,6.7,6.82,6.9,6.98,-3.4582,-1.6441,-1.28
00681R,元大美債20反1,2026-05-19,21.58,-0.05,-0.23,27000,582640,紅增,否,是,21.4,21.21,21.09,21.01,1.8563,0.7172,0.5123
00682U,期元大美元指數,2026-05-19,20.4,-0.01,-0.05,1000,20400,紅增,否,是,20.29,20.19,20.11,20.0,0.9655,0.4278,0.4219
00683L,期元大美元指正2,2026-05-19,21.24,-0.01,-0.05,60140,1276307,紅增,是,是,21.09,20.92,20.94,20.84,1.6389,0.1532,0.3715
00685L,群益臺灣加權正2,2026-05-19,235.0,-6.65,-2.75,1923573,456594072,綠增,否,是,244.63,249.73,238.14,213.06,-4.0064,2.5543,4.6021
00686R,群益臺灣加權反1,2026-05-19,1.16,0.03,2.65,6133647,7033209,紅增,否,否,1.13,1.12,1.15,1.22,1.6187,-1.6667,-2.3759
00688L,國泰20年美債正2,2026-05-19,6.55,0.01,0.15,3920561,25756621,綠增,否,否,6.68,6.8,6.88,6.96,-3.6652,-1.6197,-1.3189
00689R,國泰20年美債反1,2026-05-19,22.53,-0.07,-0.31,13000,293010,紅增,否,是,22.32,22.1,22.01,21.93,2.0294,0.6329,0.5895
00690,兆豐藍籌30,2026-05-19,68.65,,,1557545,107996265,綠增,否,是,71.85,72.8,69.91,63.46,-2.5631,2.3264,4.0949
00692,富邦公司治理,2026-05-19,81.2,-1.25,-1.52,644182,52623614,綠增,否,是,82.78,83.7,81.58,76.42,-2.1629,1.3686,2.7037
00693U,期街口S&P黃豆,2026-05-19,22.59,0.34,1.53,2239508,50461473,綠縮,是,是,22.5,22.42,22.31,22.03,0.6892,0.1877,0.6519
00700,富邦恒生國企,2026-05-19,17.31,-0.01,-0.06,114749,1991910,綠增,否,否,17.58,17.66,17.59,17.73,-0.9468,0.1588,-0.4104
