股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00411A,主動統一前沿科技,2026-09-22,10.48,0.26,2.54,35712880000,0,紅增,是,,9.96,9.88,9.78,,1.6735,1.5726,0.8662
006201,元大富櫃50,2026-09-22,46.58,0.46,1.0,380098000,0,紅增,是,,45.01,44.69,44.25,,1.4196,1.4897,3.7261
00679B,元大美債20年,2026-09-22,25.58,-0.06,-0.23,9862384000,0,綠轉紅,否,,25.49,25.55,25.82,,-0.4374,-0.5179,-1.1673
00687B,國泰20年美債,2026-09-22,26.59,-0.04,-0.15,5206924000,0,綠縮,否,,26.57,26.75,27.03,,-1.3956,-0.9845,-1.1213
00687C,國泰20年美債+櫃U,2026-09-22,9.05,0.0,0.0,25000000,0,紅增,否,,9.0,9.03,9.07,,-0.7499,-0.4189,-0.39
00694B,富邦美債1-3,2026-09-22,41.47,-0.09,-0.22,1434200000,0,綠增,是,,41.61,41.59,41.81,,0.0577,-0.2566,-0.4856
00695B,富邦美債7-10,2026-09-22,34.1,-0.06,-0.18,224679000,0,綠縮,否,,34.16,34.28,34.63,,-0.6745,-0.8073,-0.866
00696B,富邦美債20年,2026-09-22,27.89,-0.04,-0.14,835903000,0,紅增,否,,27.78,27.84,28.05,,-0.4229,-0.4754,-0.8868
00697B,元大美債7-10,2026-09-22,34.35,-0.07,-0.2,494425000,0,綠增,否,,34.67,34.82,35.18,,-0.8465,-0.8825,-0.8845
00719B,元大美債1-3,2026-09-22,30.86,-0.1,-0.32,2645805000,0,綠增,否,,30.95,30.94,31.1,,0.0776,-0.2676,-0.4179
00720B,元大投資級公司債,2026-09-22,31.87,-0.07,-0.22,2277048000,0,紅增,否,,31.72,31.68,31.86,,0.2655,-0.123,-0.5633
00722B,群益投資級電信債,2026-09-22,34.19,-0.04,-0.12,2254296000,0,紅增,否,,34.06,34.03,34.21,,0.1824,-0.1379,-0.5797
00723B,群益投資級科技債,2026-09-22,29.37,-0.02,-0.07,113000000,0,紅增,否,,29.25,29.19,29.37,,0.3913,0.0069,-0.4559
00724B,群益投資級金融債,2026-09-22,32.53,-0.04,-0.12,3466197000,0,紅增,否,,32.4,32.44,32.74,,-0.2586,-0.5488,-0.8089
00725B,國泰投資級公司債,2026-09-22,33.94,-0.05,-0.15,1328136000,0,紅增,否,,33.79,33.75,33.95,,0.2492,-0.1243,-0.5419
00726B,國泰新興投等債,2026-09-22,31.85,0.01,0.03,221061000,0,綠縮,否,,31.8,31.89,32.15,,-0.5753,-0.6789,-0.8787
00727B,國泰優選非投等債,2026-09-22,39.1,-0.03,-0.08,131389000,0,紅增,否,,39.17,39.14,39.31,,0.1585,-0.148,-0.3208
00734B,台新JPM新興債,2026-09-22,15.31,0.01,0.07,110186000,0,綠轉紅,否,,15.27,15.3,15.42,,-0.4305,-0.5396,-0.8646
00740B,富邦全球投等債,2026-09-22,37.07,-0.07,-0.19,1608003000,0,紅增,否,,36.98,37.02,37.32,,-0.2374,-0.3553,-0.7381
00741B,富邦全球非投等債,2026-09-22,36.97,0.06,0.16,87103000,0,綠縮,否,,36.94,36.97,37.23,,-0.1945,-0.3584,-0.6432
00746B,富邦A級公司債,2026-09-22,34.22,-0.04,-0.12,385355000,0,紅增,否,,34.09,34.12,34.4,,-0.1699,-0.429,-0.7487
00749B,凱基新興債10+,2026-09-22,30.58,-0.07,-0.23,102000000,0,紅增,否,,30.49,30.55,30.77,,-0.4116,-0.4205,-0.705
00750B,凱基科技債10+,2026-09-22,31.66,-0.07,-0.22,113000000,0,紅增,否,,31.54,31.5,31.69,,0.3053,-0.073,-0.5429
00751B,元大AAA至A公司債,2026-09-22,29.92,-0.07,-0.23,3997627000,0,紅縮,否,,30.12,30.12,30.35,,-0.0531,-0.3441,-0.744
00754B,群益AAA-AA公司債,2026-09-22,31.4,0.01,0.03,102000000,0,紅增,否,,31.27,31.2,31.5,,0.4368,0.016,-1.0165
00755B,群益投資級公用債,2026-09-22,31.47,0.0,0.0,103139000,0,紅增,否,,31.33,31.33,31.64,,0.0,-0.2611,-1.1002
00756B,群益投等新興公債,2026-09-22,30.02,-0.02,-0.07,121301000,0,綠轉紅,否,,29.91,30.02,30.41,,-0.6972,-0.7145,-1.2453
00758B,復華能源債,2026-09-22,50.05,0.0,0.0,100200000,0,紅增,否,,49.81,49.8,50.17,,0.0321,-0.1143,-0.8292
00759B,復華製藥債,2026-09-22,52.6,-0.05,-0.09,100159000,0,紅增,否,,52.28,52.27,52.76,,0.0383,-0.2862,-0.9761
00760B,復華新興企業債,2026-09-22,51.75,0.0,0.0,105591000,0,綠轉紅,否,,51.67,51.75,52.34,,-0.3087,-0.6146,-0.9838
