股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00400A,主動國泰動能高息,2026-06-16,14.72,0.09,0.62,40073989,592738718,綠縮,否,是,14.28,14.51,14.23,13.12,-3.0542,-1.507,0.7791
00401A,主動摩根台灣鑫收,2026-06-16,13.77,0.07,0.51,4292715,59144915,綠縮,否,是,13.5,13.6,13.33,12.31,-1.4309,-0.4902,1.465
00402A,主動安聯美國科技,2026-06-16,10.03,0.11,1.11,37133364,372095209,,否,,9.69,9.78,,,-1.7035,,
00403A,主動統一升級50,2026-06-16,10.7,0.09,0.85,588302940,6309600223,綠縮,否,,10.28,10.4,10.38,,-2.3375,-1.9051,0.1592
00404A,主動聯博動能50,2026-06-16,10.09,0.09,0.9,33615294,339251729,,否,,9.8,9.85,,,-0.8896,,
00405A,主動富邦台灣龍耀,2026-06-16,9.37,0.03,0.32,112738384,1060328599,,否,,9.23,9.34,,,-2.4117,-3.0618,
00406A,主動中信台灣收益,2026-06-16,10.08,0.01,0.1,31890775,322692174,,,,,,,,,,
0050,元大台灣50,2026-06-16,105.9,0.65,0.62,70824506,7474877454,綠縮,否,是,102.29,103.73,101.14,92.6,-2.7384,-0.0337,1.5437
0051,元大中型100,2026-06-16,143.4,0.9,0.63,105853,15158061,綠縮,否,是,139.67,141.92,138.78,129.41,-3.1146,-0.2811,1.2106
0052,富邦科技,2026-06-16,61.85,0.25,0.41,24352613,1502080052,綠縮,否,是,59.6,60.75,59.4,54.54,-3.7157,-0.5566,1.3176
0053,元大電子,2026-06-16,241.8,0.9,0.37,39471,9527655,綠縮,否,是,233.74,238.02,232.95,212.64,-3.5288,-0.8044,1.1518
0055,元大MSCI金融,2026-06-16,41.98,0.98,2.39,1575247,65888021,紅增,否,是,40.24,38.93,36.61,34.52,6.9526,7.6119,4.6728
0056,元大高股息,2026-06-16,51.55,0.05,0.1,30454587,1572258961,綠縮,否,是,50.52,51.32,49.21,44.34,-3.066,1.173,2.7692
0057,富邦摩台,2026-06-16,314.05,2.45,0.79,10873,3387001,綠縮,否,是,302.33,307.03,299.72,275.15,-3.0154,-0.1399,1.1406
0061,元大寶滬深,2026-06-16,25.28,0.07,0.28,250392,6341546,綠縮,否,是,24.59,24.82,24.85,24.5,-1.7733,-0.7638,-0.6517
006203,元大MSCI台灣,2026-06-16,191.9,1.8,0.95,7934,1517294,綠縮,否,是,186.19,188.59,183.88,168.83,-2.5081,0.0849,1.5001
006204,永豐臺灣加權,2026-06-16,227.75,0.75,0.33,12354,2812638,綠縮,否,是,221.73,224.44,218.53,201.89,-2.3861,0.3061,1.6076
006205,富邦上証,2026-06-16,41.1,0.05,0.12,226973,9373663,綠縮,否,是,40.28,40.45,40.74,40.6,-0.837,-0.8821,-0.9866
006206,元大上證50,2026-06-16,37.04,-0.14,-0.38,60081,2239848,綠轉紅,否,是,36.34,36.37,36.54,36.83,-0.1593,-0.2742,-1.0668
006207,復華滬深,2026-06-16,33.8,0.23,0.69,126310,4286562,綠縮,否,是,33.04,33.29,33.32,32.92,-1.5025,-0.766,-0.6219
006208,富邦台50,2026-06-16,245.35,1.25,0.51,3308542,809548876,綠縮,否,是,236.81,240.11,233.98,214.41,-2.7115,0.0542,1.5395
00631L,元大台灣50正2,2026-06-16,37.31,0.24,0.65,210802876,7835322971,綠縮,否,是,34.85,36.12,34.66,30.08,-6.8285,-0.8753,2.0598
00632R,元大台灣50反1,2026-06-16,10.19,-0.04,-0.39,120672457,1231326039,紅縮,否,否,10.58,10.42,10.71,11.71,2.9996,0.1153,-1.6438
00633L,富邦上証正2,2026-06-16,52.95,-0.05,-0.09,2275079,121458081,綠縮,否,是,51.0,52.13,52.04,51.58,-4.2396,-1.5653,-1.289
00634R,富邦上証反1,2026-06-16,3.03,0.01,0.33,252100,761212,紅縮,否,否,3.1,3.06,3.07,3.1,2.3118,0.7234,0.5731
00635U,期元大S&P黃金,2026-06-16,45.17,-0.06,-0.13,2850367,128519151,綠縮,否,否,44.09,45.34,46.24,48.57,-5.3411,-3.0286,-2.5738
00636,國泰中國A50,2026-06-16,29.0,0.04,0.14,276465,8053166,綠縮,否,是,28.54,28.72,28.6,28.38,-1.273,-0.2223,-0.3276
00636K,國泰中國A50+U,2026-06-16,9.24,,,200,1848,綠縮,否,是,9.03,9.13,9.11,9.0,-2.0598,-0.7825,-0.3555
00637L,元大滬深300正2,2026-06-16,21.89,0.01,0.05,19604470,432761626,綠縮,否,是,21.09,21.55,21.49,21.29,-4.1629,-1.3642,-1.2319
00638R,元大滬深300反1,2026-06-16,6.43,-0.02,-0.31,4000,25730,紅縮,否,否,6.6,6.53,6.54,6.62,2.3883,0.7878,0.4836
00639,富邦深100,2026-06-16,18.31,0.25,1.38,742622,13593926,綠縮,否,是,17.83,18.07,18.03,17.43,-2.5784,-1.246,-0.2352
00640L,富邦日本正2,2026-06-16,103.6,-0.75,-0.72,102434,10586540,綠縮,否,是,98.65,99.68,99.35,95.84,-2.0455,-1.1797,0.0378
00641R,富邦日本反1,2026-06-16,3.8,0.02,0.53,1549456,5884619,紅縮,否,否,3.9,3.89,3.9,3.97,0.879,0.6216,-0.1154
00642U,期元大S&P石油,2026-06-16,25.83,-0.03,-0.12,3905270,101240343,綠增,否,否,27.93,28.66,29.51,28.76,-4.9285,-1.2611,-2.1344
00643,群益深証中小,2026-06-16,19.86,0.15,0.76,3167046,63075015,綠縮,否,是,19.38,19.59,19.93,19.59,-2.0814,-2.4308,-1.4683
00643K,群益深証中小+R,2026-06-16,4.19,,,3000,12570,綠縮,是,是,4.21,4.27,4.35,4.03,-3.0415,-2.5314,-0.0345
00645,富邦日本,2026-06-16,56.25,-0.1,-0.18,140600,7903813,綠縮,否,是,54.76,55.02,54.85,53.79,-0.9407,-0.4343,0.0912
00646,元大S&P500,2026-06-16,74.9,0.4,0.54,2029644,151921897,綠縮,否,是,73.61,74.1,74.06,71.88,-1.3138,-0.5503,0.0608
00647L,元大S&P500正2,2026-06-16,135.7,0.85,0.63,103065,13981220,綠縮,否,是,131.11,133.42,133.47,126.45,-3.3967,-1.5932,-0.1739
00648R,元大S&P500反1,2026-06-16,3.95,-0.02,-0.5,354407,1401086,紅縮,否,否,4.04,4.0,4.01,4.13,1.8649,0.9579,0.0499
00650L,復華香港正2,2026-06-16,15.81,-0.46,-2.83,5157856,82290164,綠縮,否,否,15.78,16.3,16.63,17.36,-6.2292,-2.6808,-3.323
00651R,復華香港反1,2026-06-16,5.42,0.09,1.69,60035,324312,紅縮,否,是,5.45,5.35,5.31,5.21,3.5361,1.325,1.6654
00652,富邦印度,2026-06-16,32.7,0.04,0.12,264570,8646483,紅增,否,否,31.83,31.72,31.97,33.01,0.6578,-0.6918,-0.3072
00653L,富邦印度正2,2026-06-16,46.18,0.02,0.04,100150,4601554,綠轉紅,否,否,44.03,43.95,44.71,46.39,0.3464,-2.0152,-0.5781
00654R,富邦印度反1,2026-06-16,6.77,0.01,0.15,35320,239818,紅轉綠,否,否,6.97,6.97,6.9,6.8,0.0287,1.3238,0.2614
00655L,國泰中國A50正2,2026-06-16,37.02,-0.01,-0.03,1481590,55336973,綠縮,否,是,35.61,36.42,36.31,35.97,-4.32,-1.4691,-1.2337
00656R,國泰中國A50反1,2026-06-16,5.7,-0.01,-0.18,472000,2684390,紅縮,否,否,5.84,5.78,5.8,5.85,2.3826,0.7676,0.4767
00657,國泰日經225,2026-06-16,81.05,0.25,0.31,37777,3054705,綠轉紅,否,是,76.99,77.37,75.8,72.11,-0.9775,0.3372,1.0666
00657K,國泰日經225+U,2026-06-16,25.9,,,200,5180,綠轉紅,否,是,24.4,24.6,24.1,22.92,-1.6685,0.0244,0.7947
00660,元大歐洲50,2026-06-16,45.26,-0.3,-0.66,5346,241603,紅增,否,是,44.55,44.29,43.88,43.25,1.1627,0.4764,1.0791
00661,元大日經225,2026-06-16,89.8,0.5,0.56,123416,11045491,綠轉紅,否,是,85.03,85.38,83.52,79.29,-0.8049,0.5299,1.2794
00662,富邦NASDAQ,2026-06-16,123.85,1.4,1.14,5369652,663976174,綠縮,否,是,119.66,120.93,120.29,113.3,-2.0866,-0.5837,0.2375
00663L,國泰臺灣加權正2,2026-06-16,108.4,0.8,0.74,9896527,1073085663,綠縮,否,是,101.47,105.24,100.72,86.66,-6.9168,-1.0158,2.4203
00664R,國泰臺灣加權反1,2026-06-16,1.65,0.0,0.0,18260299,30067646,紅縮,否,否,1.71,1.68,1.73,1.89,3.0193,-0.0595,-1.6761
00665L,富邦恒生國企正2,2026-06-16,8.99,-0.31,-3.33,25358699,230667889,綠增,否,否,9.07,9.3,9.42,9.9,-4.6648,-1.5254,-3.0671
00666R,富邦恒生國企反1,2026-06-16,9.36,0.17,1.85,16110,150363,紅增,否,是,9.33,9.21,9.17,8.99,2.6414,0.6891,1.4493
00668,國泰美國道瓊,2026-06-16,59.55,0.05,0.08,11527,686335,紅增,否,是,58.75,58.6,58.13,56.95,0.5305,0.6182,0.7191
00668K,國泰美國道瓊+U,2026-06-16,18.91,,,100,1891,綠轉紅,否,是,18.59,18.61,18.47,18.08,-0.3004,0.2909,0.5991
00669R,國泰美國道瓊反1,2026-06-16,5.32,0.0,0.0,952266,5056025,紅縮,否,否,5.41,5.4,5.44,5.55,0.4831,-0.0556,-0.5397
00670L,富邦NASDAQ正2,2026-06-16,220.9,4.0,1.84,927916,204305761,綠縮,否,是,206.3,212.28,210.81,188.6,-5.4797,-2.0826,0.0202
