股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
006201,元大富櫃50,2026-08-24,42.57,-0.03,-0.07,146506000,0,紅縮,否,否,43.69,41.37,42.4,45.91,11.865,2.2667,-2.2873
00679B,元大美債20年,2026-08-24,25.83,-0.01,-0.04,12414050000,0,綠增,否,否,26.14,26.41,26.6,26.64,-2.0243,-1.238,-0.9236
00687B,國泰20年美債,2026-08-24,27.16,-0.03,-0.11,28503176000,0,綠增,是,否,27.31,27.54,27.7,27.79,-1.5995,-1.0066,-0.8198
00687C,國泰20年美債+櫃U,2026-08-24,9.09,0.01,0.11,25000000,0,綠縮,否,否,9.1,9.12,9.16,9.27,-0.3722,-0.4476,-0.8601
00694B,富邦美債1-3,2026-08-24,41.87,-0.11,-0.26,225391000,0,綠增,否,是,42.06,42.25,42.31,41.85,-0.8767,-0.382,-0.0602
00695B,富邦美債7-10,2026-08-24,34.82,-0.09,-0.26,73642000,0,綠增,否,否,35.04,35.23,35.36,35.18,-1.0841,-0.5477,-0.414
00696B,富邦美債20年,2026-08-24,28.11,-0.02,-0.07,1391964000,0,綠增,否,否,28.27,28.51,28.76,28.9,-1.6488,-1.0722,-1.114
00697B,元大美債7-10,2026-08-24,35.39,-0.07,-0.2,201258000,0,綠增,否,否,35.61,35.79,35.84,35.65,-1.0118,-0.4755,-0.1782
00719B,元大美債1-3,2026-08-24,31.17,-0.06,-0.19,2152210000,0,綠增,否,是,31.3,31.4,31.45,31.11,-0.6665,-0.308,-0.0207
00720B,元大投資級公司債,2026-08-24,31.81,-0.03,-0.09,5096281000,0,綠增,否,否,32.02,32.23,32.61,32.94,-1.3131,-1.132,-1.2911
00722B,群益投資級電信債,2026-08-24,34.17,-0.06,-0.18,10157858000,0,綠縮,是,否,34.36,34.59,35.02,35.68,-1.2813,-1.2027,-1.4575
00723B,群益投資級科技債,2026-08-24,29.24,-0.08,-0.27,315153000,0,綠增,是,否,29.53,29.71,30.0,30.56,-1.1911,-0.7781,-1.4261
00724B,群益投資級金融債,2026-08-24,32.83,-0.04,-0.12,5300342000,0,綠增,否,否,33.05,33.28,33.52,33.7,-1.3373,-0.8137,-1.0143
00725B,國泰投資級公司債,2026-08-24,33.89,-0.05,-0.15,2631480000,0,綠增,否,否,34.14,34.35,34.67,35.02,-1.221,-0.8829,-1.1913
00726B,國泰新興投等債,2026-08-24,32.27,-0.12,-0.37,117621000,0,綠增,否,否,32.45,32.58,32.97,32.88,-0.7462,-1.3865,-0.7048
00727B,國泰優選非投等債,2026-08-24,39.32,-0.06,-0.15,189386000,0,綠增,否,否,39.49,39.63,39.78,39.56,-0.709,-0.2492,-0.3457
00734B,台新JPM新興債,2026-08-24,15.42,-0.02,-0.13,1255000,0,綠增,否,,15.55,15.64,15.81,,-1.0687,-1.1693,-0.7968
00740B,富邦全球投等債,2026-08-24,37.29,0.0,0.0,722220000,0,綠增,否,否,37.59,37.87,38.17,38.51,-1.4731,-0.9598,-1.0165
00741B,富邦全球非投等債,2026-08-24,37.23,-0.09,-0.24,116732000,0,綠增,否,否,37.49,37.7,37.76,37.41,-1.0974,-0.5592,-0.0463
00746B,富邦A級公司債,2026-08-24,34.45,-0.03,-0.09,180726000,0,綠增,否,否,34.69,34.93,35.2,35.43,-1.3537,-0.8742,-1.0305
00749B,凱基新興債10+,2026-08-24,30.78,-0.04,-0.13,192000000,0,綠增,是,否,31.03,31.19,31.49,31.63,-0.9954,-0.8709,-0.9921
00750B,凱基科技債10+,2026-08-24,31.58,-0.14,-0.44,101025000,0,綠增,否,否,31.88,32.08,32.42,32.9,-1.2024,-1.0153,-1.3584
00751B,元大AAA至A公司債,2026-08-24,30.36,-0.03,-0.1,6964960000,0,綠增,是,否,30.56,30.79,31.04,31.49,-1.4447,-1.1177,-1.0707
00754B,群益AAA-AA公司債,2026-08-24,31.26,-0.06,-0.19,153380000,0,綠增,否,否,31.76,32.17,32.57,33.17,-2.5107,-1.7649,-1.5683
00755B,群益投資級公用債,2026-08-24,31.57,0.02,0.06,195335000,0,綠增,是,否,31.94,32.34,32.63,32.75,-2.4436,-1.4956,-1.1092
00756B,群益投等新興公債,2026-08-24,30.44,-0.01,-0.03,184318000,0,綠增,否,否,30.86,31.15,31.45,31.46,-1.8324,-1.3024,-0.984
00758B,復華能源債,2026-08-24,49.91,-0.09,-0.18,100000000,0,綠增,否,否,50.52,51.01,51.39,51.55,-1.899,-1.2085,-0.8576
00759B,復華製藥債,2026-08-24,52.6,-0.1,-0.19,100000000,0,綠增,否,否,53.2,53.8,54.29,54.52,-2.1879,-1.366,-1.0977
00760B,復華新興企業債,2026-08-24,52.4,-0.1,-0.19,103853000,0,綠增,否,否,53.01,53.38,53.79,53.77,-1.3584,-1.0199,-0.7061
00761B,國泰A級公司債,2026-08-24,33.0,-0.03,-0.09,154952000,0,綠增,否,否,33.41,33.81,34.11,34.37,-2.3327,-1.4343,-1.1303
00764B,群益25年美債,2026-08-24,27.05,-0.01,-0.04,12660359000,0,綠增,是,否,27.21,27.44,27.62,27.73,-1.6552,-1.0814,-0.8382
00768B,復華20年美債,2026-08-24,48.1,0.03,0.06,237089000,0,綠增,否,否,48.67,49.32,49.79,49.98,-2.6093,-1.5843,-1.1211
00772B,中信高評級公司債,2026-08-24,32.47,0.0,0.0,1120755000,0,綠增,否,否,32.73,33.0,33.26,33.54,-1.6291,-1.0821,-1.0177
00773B,中信優先金融債,2026-08-24,34.88,-0.02,-0.06,2446245000,0,綠增,是,否,35.16,35.46,35.68,35.81,-1.6777,-0.969,-0.8627
00777B,凱基AAA至A公司債,2026-08-24,31.15,-0.07,-0.22,103797000,0,綠增,否,否,31.47,31.71,32.03,32.44,-1.5395,-1.2303,-1.2409
00778B,凱基金融債20+,2026-08-24,33.23,-0.04,-0.12,103000000,0,綠增,否,否,33.53,33.88,34.12,34.4,-2.0161,-1.1236,-1.1116
00779B,凱基美債25+,2026-08-24,27.34,-0.03,-0.11,301180000,0,綠增,否,否,27.52,27.74,27.93,28.08,-1.6019,-1.0698,-0.88
00780B,國泰A級金融債,2026-08-24,36.5,-0.12,-0.33,117229000,0,綠增,否,否,36.96,37.31,37.46,37.28,-1.8796,-0.9503,-0.502
00781B,國泰A級科技債,2026-08-24,27.12,-0.03,-0.11,138933000,0,綠增,否,否,27.3,27.49,27.75,28.3,-1.4158,-1.1897,-1.131
00782B,國泰A級公用債,2026-08-24,29.42,0.02,0.07,123000000,0,綠縮,否,否,29.56,29.81,30.14,30.37,-1.6896,-1.1211,-1.2938
00785B,富邦金融投等債,2026-08-24,34.03,-0.03,-0.09,57892000,0,綠增,否,否,34.28,34.54,34.77,34.93,-1.4888,-0.8185,-0.9894
00786B,元大10年IG銀行債,2026-08-24,31.81,-0.06,-0.19,78467000,0,綠增,是,否,32.25,32.53,32.71,32.73,-1.7489,-0.968,-0.7886
00787B,元大10年IG醫療債,2026-08-24,31.74,-0.03,-0.09,7132000,0,綠增,否,否,31.93,32.16,32.36,32.55,-1.4139,-0.9089,-0.8426
00788B,元大10年IG電能債,2026-08-24,29.1,0.0,0.0,36034000,0,綠增,否,否,29.28,29.53,29.84,29.95,-1.6457,-1.1879,-1.156
00789B,復華公司債A3,2026-08-24,45.9,-0.18,-0.39,110000000,0,綠增,否,否,46.31,46.66,47.28,48.03,-1.4722,-1.3135,-1.5021
