股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00400A,主動國泰動能高息,2026-05-22,13.9,0.44,3.27,49668673,685010807,綠縮,否,是,13.17,13.51,13.38,12.45,-4.8974,-1.9601,1.4017
00401A,主動摩根台灣鑫收,2026-05-22,13.08,0.36,2.83,11339450,147101354,綠縮,否,是,12.49,12.61,12.43,11.75,-1.8693,-0.3398,1.7139
00403A,主動統一升級50,2026-05-22,10.2,0.19,1.9,541477121,5509323726,,否,,9.89,,,,,,
0050,元大台灣50,2026-05-22,97.3,1.45,1.51,64288280,6213742970,綠縮,否,是,94.73,95.43,94.54,87.82,-1.4666,-0.6248,2.1861
0051,元大中型100,2026-05-22,136.4,3.85,2.9,91624,12420738,綠轉紅,否,是,130.84,131.94,129.93,124.38,-1.6462,0.2431,1.3831
0052,富邦科技,2026-05-22,57.65,1.25,2.22,33005123,1886164409,綠縮,否,是,55.83,56.17,55.51,51.91,-1.2033,-0.4255,2.4651
0053,元大電子,2026-05-22,225.85,3.6,1.62,26564,5976932,綠縮,否,是,218.16,220.65,217.93,201.13,-2.2274,-0.4893,2.2545
0055,元大MSCI金融,2026-05-22,33.9,-0.09,-0.26,321516,10888793,紅縮,否,是,33.85,33.78,33.65,33.49,0.4391,0.0948,0.3983
0056,元大高股息,2026-05-22,46.35,0.91,2.0,56808210,2622430304,紅增,否,是,44.87,45.04,43.66,41.92,-0.774,1.4345,1.9487
0057,富邦摩台,2026-05-22,289.4,4.3,1.51,6322,1819332,綠縮,否,是,281.61,285.21,281.88,261.14,-2.493,-0.6497,2.1184
0061,元大寶滬深,2026-05-22,24.69,-0.3,-1.2,279022,6883645,綠增,否,是,24.78,25.02,24.78,24.29,-1.83,0.008,0.5968
006203,元大MSCI台灣,2026-05-22,177.25,1.9,1.08,36674,6494100,綠縮,否,是,172.47,173.9,172.44,160.34,-1.6256,-0.725,2.0868
006204,永豐臺灣加權,2026-05-22,211.65,4.15,2.0,32807,6904519,綠縮,否,是,204.89,206.39,203.7,192.87,-1.4478,-0.046,1.78
006205,富邦上証,2026-05-22,40.72,-0.79,-1.9,1071464,43651167,綠增,否,是,41.07,41.49,41.19,40.46,-1.9807,-0.2117,0.5579
006206,元大上證50,2026-05-22,36.57,-0.51,-1.38,138415,5060891,綠增,是,否,36.87,37.39,37.38,36.88,-2.769,-1.1185,0.1232
006207,復華滬深,2026-05-22,32.99,-0.38,-1.14,162877,5368801,綠增,否,是,33.13,33.5,33.23,32.66,-2.1846,-0.152,0.455
