股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
006201,元大富櫃50,2026-07-06,48.46,-0.84,-1.7,275190000,0,綠縮,否,是,47.54,48.03,47.81,45.1,-2.0278,0.8694,-1.1129
00679B,元大美債20年,2026-07-06,27.16,0.1,0.37,17153743000,0,紅縮,否,是,27.21,27.15,26.86,26.79,0.4504,1.0232,0.839
00687B,國泰20年美債,2026-07-06,28.25,0.1,0.36,11141352000,0,紅縮,否,是,28.31,28.25,28.07,27.92,0.4257,0.6485,0.5986
00687C,國泰20年美債+櫃U,2026-07-06,9.39,0.0,0.0,25000000,0,紅轉綠,否,是,9.45,9.46,9.4,9.34,-0.2533,0.5952,0.4435
00694B,富邦美債1-3,2026-07-06,42.34,0.15,0.36,205587000,0,紅增,否,是,42.1,41.94,41.76,41.65,0.7611,0.5369,0.4353
00695B,富邦美債7-10,2026-07-06,35.73,0.13,0.37,89735000,0,紅增,否,是,35.62,35.48,35.24,35.22,0.7924,0.7698,0.5349
00696B,富邦美債20年,2026-07-06,29.58,0.1,0.34,2138497000,0,紅縮,否,是,29.66,29.6,29.29,29.08,0.3859,1.0205,0.8263
00697B,元大美債7-10,2026-07-06,35.98,0.14,0.39,231883000,0,紅增,否,是,35.85,35.74,35.63,35.67,0.6117,0.3622,0.3224
00719B,元大美債1-3,2026-07-06,31.44,0.1,0.32,3023076000,0,紅增,否,是,31.27,31.15,31.03,31.0,0.754,0.5065,0.4078
00720B,元大投資級公司債,2026-07-06,33.79,0.11,0.33,3891524000,0,紅縮,否,是,33.76,33.67,33.44,33.16,0.5061,0.6877,0.632
00722B,群益投資級電信債,2026-07-06,36.51,0.14,0.38,2525121000,0,紅縮,否,是,36.51,36.49,36.3,36.11,0.1206,0.4763,0.4191
00723B,群益投資級科技債,2026-07-06,31.33,0.1,0.32,670200000,0,紅縮,是,是,31.3,31.27,31.12,30.9,0.1921,0.5176,0.4455
00724B,群益投資級金融債,2026-07-06,34.55,0.15,0.44,3564435000,0,紅增,否,是,34.45,34.35,34.06,33.83,0.6074,0.8752,0.6546
00725B,國泰投資級公司債,2026-07-06,35.91,0.11,0.31,6459712000,0,紅縮,否,是,35.84,35.75,35.52,35.21,0.5047,0.673,0.5948
00726B,國泰新興投等債,2026-07-06,33.48,0.11,0.33,187656000,0,紅增,否,是,33.37,33.26,33.04,32.97,0.6394,0.7542,0.5983
