股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00400A,主動國泰動能高息,2026-05-11,14.14,0.44,3.21,68267203,956155762,紅增,否,是,13.82,13.4,12.83,12.22,6.4715,4.9745,3.8452
00401A,主動摩根台灣鑫收,2026-05-11,12.81,0.26,2.07,16638067,211395947,紅增,否,是,12.65,12.35,11.96,11.56,4.859,3.9115,2.7415
0050,元大台灣50,2026-05-11,96.9,-0.1,-0.1,96606391,9362479353,紅縮,否,是,96.39,94.03,90.16,86.15,5.1489,4.4778,3.5134
0051,元大中型100,2026-05-11,135.25,3.6,2.73,84059,11280321,紅增,否,是,131.5,129.07,125.92,122.84,3.8377,3.0006,2.0669
0052,富邦科技,2026-05-11,56.95,-0.15,-0.26,30943205,1761816241,紅縮,否,是,56.62,55.06,52.91,51.0,5.812,4.758,3.204
0053,元大電子,2026-05-11,224.25,2.2,0.99,30019,6715938,紅縮,否,是,221.56,216.33,206.93,196.88,4.95,4.5678,3.7231
0055,元大MSCI金融,2026-05-11,34.0,-0.39,-1.13,597317,20466843,紅縮,是,是,33.96,33.62,33.48,33.45,2.031,1.1158,0.3973
0056,元大高股息,2026-05-11,45.76,0.91,2.03,70902233,3219371307,紅增,否,是,44.36,42.76,42.0,41.32,7.8003,3.568,2.0544
0057,富邦摩台,2026-05-11,288.35,0.0,0.0,9289,2674743,紅縮,否,是,286.77,279.82,268.19,255.86,5.0901,4.4357,3.5793
0061,元大寶滬深,2026-05-11,25.17,0.35,1.41,414601,10371395,紅增,否,是,24.89,24.64,24.38,24.14,2.0835,1.3952,0.9001
006203,元大MSCI台灣,2026-05-11,176.75,-0.4,-0.23,18705,3312834,紅縮,否,是,175.82,171.6,164.67,157.35,5.0424,4.3637,3.475
006204,永豐臺灣加權,2026-05-11,209.5,2.25,1.09,43165,9039891,紅增,是,是,206.54,202.18,196.04,190.01,4.408,3.5705,2.5556
006205,富邦上証,2026-05-11,41.82,0.59,1.43,579812,24173219,紅增,否,是,41.39,41.05,40.59,40.26,1.6555,1.5234,0.8059
